name,cpu,ram,gpu,dx,os,sto,spec_class
A Walk in the Dark,1.7 GHz Dual Core or Greater,2 GB RAM,256 MB DirectX 9.0c compatible graphics card (shader model 3),DirectX 9.0c,"Windows XP, Vista, 7, 8",200 MB available space,0
A Way Out,"Intel core i3-2100T @ 2.5GHz/AMD FX 6100, or better",8 GB,"NVIDIA GeForce GTX 650Ti 2GB, AMD Radeon HD 7750 2GB",DirectX 11,"Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit",25 GB,0
A Way Out,Intel Core i5 3570K; AMD Ryzen 3 1300x or equivalent,16 GB,Nvidia GTX 960; AMD R9 290 or equivalent,DirectX 11,"Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit",25 GB,1
A-10 VR,Intel Core i5-4590 equivalent or greater,8 GB RAM,NVIDIA GeForce GTX 970 /Radeon R9 290 equivalent or greater,,"Windows 7,8 or 10 (64bit)",200 MB available space,0
A.I. Invasion,Intel or AMD 2.0-3.4 GHz Dual Core,4 GB RAM,"512 mb, Directx 9.0c SM 3.0",Version 9.0c,Windows Vista/7/8,2 GB available space,0
A.I. Invasion,Intel/AMD 3.0+ GHz Quad Core or Greater,8 GB RAM,1GB Nvidia GT/GTS or ATI Radeon HD,Version 9.0c,Windows 7,2 GB available space,1
A.I. Space Corps,Intel or AMD 2.0-3.4 GHz Dual Core,4 GB RAM,"512 mb, Directx 9.0c SM 3.0",Version 9.0c,Windows Vista/7/8,2 GB available space ,0
A.I. Space Corps,Intel/AMD 3.0+ GHz Quad Core or Greater,8 GB RAM,1GB Nvidia GT/GTS or ATI Radeon HD,Version 9.0c,Windows 7,2 GB available space ,1
A.I.M.,Intel Pentium III or AMD Athlon 800 MHz,256 MB ,"32 Mb video memory, nVidia GeForce 2; ATI Radeon 7500 or higher",DirectX 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","2,500 MB hard disk space for installation; 600 Mb for save games and swap file",0
A.I.M.,"Intel Pentium IV or AMD Athlon 1,5 HHz",512 Mb,"64 Mb video memory, nVidia GeForce 3 and higher; or ATI Radeon 8500 and higher; AGP 4x; for maximum settings 128 Mb video memory, nVidia GeForce FX 5600; or ATI Radeon 9500 and higher; AGP 8x",Direct X 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","2,500 MB hard disk space for installation; 600 Mb for save games and swap file",1
A.I.M. 2 Clan Wars,Intel Pentium IV or AMD Athlon 800 MHz,256 MB,"32 Mb video memory, nVidia GeForce 3; ATI Radeon 7500 or higher",Direct X 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","2,500 MB hard disk space for installation; 600 Mb for save games and swap file",0
