cpu,mainboard,ram,gpu,case,power,cooler,ssd,sys_cooler
18039569,18060350,16193474,18980858,20229659,15266783,,13538642,
18038831,18652877,16443341,18307451,21522878,21547892,20471123,17001050,
18718631,18021491,15759071,18686444,16571885,18442058,18076145,17454683,
18718631,17917991,15759071,18686444,16571885,18442058,14076317,17454683,
18640379,15693545,18911780,18686546,18539024,9564369,10467378,18297002,
18038831,18649997,16443341,18668606,18212909,20480564,,13276568,
19627808,20324882,18767360,19773293,11884168,12487214,,17001050,
18039356,18652871,16443341,20312741,18449441,13934516,,13161338,
18640379,16637543,18911780,19321322,17783126,18871952,17743070,13562714,
18640280,16637543,18911780,18798842,18684122,14789870,6375041,17454590,
18640397,18649997,18767543,17658794,18147938,12400748,,13276568,
18640280,18652877,18911771,20723405,17780918,17523389,13342367,13562714,
18039374,18261245,18911780,17982335,20501747,18901058,,15022826,
18039374,16427084,18486506,19772036,18419840,13934357,,12339347,
18039374,18652871,18486497,18669413,18212909,13934357,2996635,12339347,
18039569,18167699,16388927,17982335,9306525,13168653,10467378,12339347,
18039569,18167699,15759071,18307451,17764370,18157265,18076187,17454683,
18039569,18261176,18911780,18302759,18419840,18901058,,13538642,
18640442,18652868,11541857,18307451,11884168,18442058,18076082,17454767,
18640442,18652880,11790199,18686546,16571885,18442058,10467378,17454683,
19627808,19627259,21695174,18668606,18449441,20315813,,14905265,
18718496,20324882,18911780,19755944,17783126,16200560,,13161353,
18718631,17971604,20644043,19772036,14705840,12487214,,13538642,
18718592,18021491,15879230,17969774,14597915,7179316,,14905265,
15594638,18725357,18911780,20205068,15063971,20480564,,20687702,
18640280,18652877,18911780,13512254,13735088,9431634,6375041,15796589,
,,18911780,19047491,11540768,14677028,,7136755,
19627808,18021581,17535233,18302282,18419840,20628194,,13276568,
17570783,13562387,11028636,17982335,10958634,5968537,19864532,17001050,
16101464,16083650,11541857,20308373,14705840,18503468,,13161353,
19627808,18044582,17770829,18686444,20229659,20662922,,13538642,
18640397,18652865,18911780,19756001,12969350,18442058,11780869,16587515,
18039512,18060350,20369066,19781723,18136580,21206702,,7136788,
18039374,18264857,19539911,19773293,17764370,20009693,,17001050,
18039374,18652865,17770829,20274611,16542008,17853017,,17000984,
12622091,11574545,11790199,14461811,16604054,16200560,11015937,17454767,
18039374,16637543,15759071,15369467,13381619,11242917,17658332,5734544,
15594638,16088780,11790199,14776451,16571885,9431529,15245648,5734544,
18039356,18652877,18911780,19321322,5718431,18871952,6375041,13190573,
17913311,19705316,18911780,18790985,16900727,16200479,16195334,13562714,
18640319,20120033,18911771,20274611,16144583,13934357,,13276568,
18038831,16084070,11790199,27161939,10423167,18503468,,7136788,
17913863,17971598,18146438,17982335,11884168,13168653,19864532,12339347,
18640379,19536062,17770829,19060016,20229659,19814027,,17001050,
18039569,18652877,18486506,18699401,18419840,19961321,,14905214,
18640280,18813608,17535839,14837663,20220104,13934516,,16463090,
18039512,18167699,15759071,17982335,16571885,13168653,16862534,17454683,
17913710,17917991,15759071,17982338,15894419,13168653,16862534,12339347,
18039374,18054803,16443341,18307451,18539024,20662874,,16587515,
18039374,18652877,18134999,18668606,17711546,13976141,11881408,13161338,
18038831,18652871,17770829,20500949,16542008,13168653,,17001050,
18039356,18652877,20644043,19773293,17409059,19961321,,17001050,
18718631,17971187,19567433,24703415,16900748,12487214,,17001050,
18640379,18060350,17535839,20274611,18419840,19806944,,12339347,
16741349,11764859,11790199,27499418,15063971,20010002,,7136788,
18640379,16084070,11790199,15754070,13381619,13934516,14110475,13161338,
17913710,18165161,21639443,27570908,19278527,20315813,,13276568,
19627808,17971184,18486506,19781723,11884168,12487214,,13161338,
18039356,16088780,11790199,19781519,18419840,21206882,,12339347,
19174415,17917991,15759071,18108812,17976368,19043699,,17000984,
18640379,18652871,20644043,19781519,11884207,10448835,,8034664,
18640379,18652877,18911780,19773899,11884168,9431634,17743070,17454767,
18038831,18652877,16193474,19781723,18419840,12487214,,17001050,
19627808,20324882,20644043,19773293,8173525,20662874,,12339347,
