name,price,link,company,product_seq,image,form_factor,interface,protocol,volume,memory_type,nand,ram_type,ram_mounted,sequential_read,sequential_write,read_iops,write_iops,heatsink,rgbled,as_year,support_option,reg_date,bookmark
GIGABYTE SSD M.2 NVMe 제이씨현,60930.0,https://prod.danawa.com/info/?pcode=16106144&cate=112760,GIGABYTE,16106144,//img.danawa.com/prod_img/500000/144/106/img/16106144_1.jpg?shrink=330:*&_v=20230223172336,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,500GB,TLC(기타),3D낸드,,,"3,400","2,500",300,390,0,0,5,73,202302,
ADATA XPG GAMMIX S5 M.2 NVMe,77530.0,https://prod.danawa.com/info/?pcode=7175707&cate=112760,ADATA,7175707,//img.danawa.com/prod_img/500000/707/175/img/7175707_1.jpg?shrink=330:*&_v=20201111124057,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,,"2,100","1,500",250,240,0,0,5,100,201902,
TeamGroup GX1 SMI,56000.0,https://prod.danawa.com/info/?pcode=11901772&cate=112760,TeamGroup,11901772,//img.danawa.com/prod_img/500000/772/901/img/11901772_1.jpg?shrink=330:*&_v=20201029100145,6.4cm(2.5형),SATA3 (6Gb/s),,960GB,,3D낸드,,,530,480,nan,nan,0,0,3,27,202007,
PNY CS1030 Gen3 M.2 NVMe 마이크로닉스,53520.0,https://prod.danawa.com/info/?pcode=14267903&cate=112760,PNY,14267903,//img.danawa.com/prod_img/500000/903/267/img/14267903_1.jpg?shrink=330:*&_v=20210525100601,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,,"2,100","1,700",nan,nan,0,0,5,9,202101,
TeamGroup T-Force CARDEA Ceramic C440 M.2 NVMe,318530.0,https://prod.danawa.com/info/?pcode=14423996&cate=112760,TeamGroup,14423996,//img.danawa.com/prod_img/500000/996/423/img/14423996_1.jpg?shrink=330:*&_v=20210811170348,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,2TB,,3D낸드,,,"5,000","4,400",750,750,0,0,5,3,202106,
ADATA FALCON M.2 NVMe,115350.0,https://prod.danawa.com/info/?pcode=11830057&cate=112760,ADATA,11830057,//img.danawa.com/prod_img/500000/057/830/img/11830057_1.jpg?shrink=330:*&_v=20201016131104,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,512GB,,3D낸드,,,"3,100","1,500",100,160,0,0,5,36,202007,
CORSAIR Force Series MP600 M.2 NVMe,283410.0,https://prod.danawa.com/info/?pcode=8462625&cate=112760,CORSAIR,8462625,//img.danawa.com/prod_img/500000/625/462/img/8462625_1.jpg?shrink=330:*&_v=20200520124426,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,,"4,950","4,250",680,600,0,0,5,8,201907,
GIGABYTE AORUS Gen4 SSD M.2 NVMe 피씨디렉트,161500.0,https://prod.danawa.com/info/?pcode=16660514&cate=112760,GIGABYTE,16660514,//img.danawa.com/prod_img/500000/514/660/img/16660514_1.jpg?shrink=330:*&_v=20220407144555,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"5,000","4,400",750,700,0,0,5,41,201907,
인텔 D3-S4510,,https://prod.danawa.com/info/?pcode=6460544&cate=112760,인텔,6460544,//img.danawa.com/prod_img/500000/544/460/img/6460544_1.jpg?shrink=330:*&_v=20210323162425,6.4cm(2.5형),SATA3 (6Gb/s),,3.84TB,TLC(기타),3D낸드,,,560,510,97,32,0,0,5,0,201809,
ADATA LEGEND 800 M.2 NVMe,70000.0,https://prod.danawa.com/info/?pcode=19353605&cate=112760,ADATA,19353605,//img.danawa.com/prod_img/500000/605/353/img/19353605_1.jpg?shrink=330:*&_v=20230511132449,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,,3D낸드,,,"3,500","2,200",nan,nan,0,0,3,76,202303,
COLORFUL SL500 ONYX ST,167940.0,https://prod.danawa.com/info/?pcode=5706990&cate=112760,COLORFUL,5706990,//img.danawa.com/prod_img/500000/990/706/img/5706990_1.jpg?shrink=330:*&_v=20171211092850,6.4cm(2.5형),SATA3 (6Gb/s),,480GB,TLC(기타),3D낸드,,,440,440,nan,nan,0,0,3,9,201712,
Western Digital WD Blue M.2 SATA,40000.0,https://prod.danawa.com/info/?pcode=4800800&cate=112760,Western Digital WD,4800800,//img.danawa.com/prod_img/500000/800/800/img/4800800_1.jpg?shrink=330:*&_v=20200513170434,M.2 (2280),SATA3 (6Gb/s),,250GB,,,,DRAM 탑재,540,500,97,79,0,0,5,9,201701,
타무즈 RX630,,https://prod.danawa.com/info/?pcode=4063627&cate=112760,타무즈,4063627,//img.danawa.com/prod_img/500000/627/063/img/4063627_1.jpg?shrink=330:*&_v=20181212105843,6.4cm(2.5형),SATA3 (6Gb/s),,64GB,MLC(토글),,,,450,90,nan,nan,0,0,3,1,201605,
CORSAIR MP600 CORE M.2 NVMe,273750.0,https://prod.danawa.com/info/?pcode=13266551&cate=112760,CORSAIR,13266551,//img.danawa.com/prod_img/500000/551/266/img/13266551_1.jpg?shrink=330:*&_v=20210201134107,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,QLC,3D낸드,,,"4,950","3,700",380,580,0,0,5,0,202101,
CORSAIR MP400 M.2 NVMe,279120.0,https://prod.danawa.com/info/?pcode=12497381&cate=112760,CORSAIR,12497381,//img.danawa.com/prod_img/500000/381/497/img/12497381_1.jpg?shrink=330:*&_v=20201020160523,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,2TB,QLC,3D낸드,,DRAM 탑재,3480,"3,000",380,560,0,0,5,11,202010,
Western Digital WD GREEN M.2 SATA,46000.0,https://prod.danawa.com/info/?pcode=6627592&cate=112760,Western Digital,6627592,//img.danawa.com/prod_img/500000/592/627/img/6627592_1.jpg?shrink=330:*&_v=20220526181104,M.2 (2280),SATA3 (6Gb/s),,480GB,TLC(기타),,,,545,nan,nan,nan,0,0,3,25,201811,
ADATA XPG SX6000 Pro M.2 NVMe,69590.0,https://prod.danawa.com/info/?pcode=6515515&cate=112760,ADATA XPG,6515515,//img.danawa.com/prod_img/500000/515/515/img/6515515_1.jpg?shrink=330:*&_v=20200513164919,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,512GB,TLC(기타),3D낸드,,,"2,100","1,500",250,240,0,0,5,36,201810,
인텔 DC P4610,808500.0,https://prod.danawa.com/info/?pcode=13686647&cate=112760,인텔,13686647,//img.danawa.com/prod_img/500000/647/686/img/13686647_1.jpg?shrink=330:*&_v=20220525181744,6.4cm(2.5형),PCIe3.1x4 (32GT/s),NVMe 1.2,1.6TB,TLC(기타),3D낸드,,,"3,200","2,080",648,199,0,0,5,0,202103,
Western Digital WD Blue SSD,37500.0,https://prod.danawa.com/info/?pcode=4595348&cate=112760,Western Digital WD,4595348,//img.danawa.com/prod_img/500000/348/595/img/4595348_1.jpg?shrink=330:*&_v=20210805144417,6.4cm(2.5형),SATA3 (6Gb/s),,250GB,,,,DRAM 탑재,540,500,97,79,0,0,3,9,201610,
TeamGroup T-Force DELTA R RGB,56090.0,https://prod.danawa.com/info/?pcode=6769699&cate=112760,TeamGroup,6769699,//img.danawa.com/prod_img/500000/699/769/img/6769699_1.jpg?shrink=330:*&_v=20191025094319,6.4cm(2.5형),SATA3 (6Gb/s),,500GB,,3D낸드,,,560,500,90,80,0,1,3,41,201812,
ADATA Ultimate SU800 M.2 SATA,30790.0,https://prod.danawa.com/info/?pcode=6476459&cate=112760,ADATA,6476459,//img.danawa.com/prod_img/500000/459/476/img/6476459_1.jpg?shrink=330:*&_v=20200513170253,M.2 (2280),SATA3 (6Gb/s),,256GB,TLC(기타),3D낸드,,,560,520,80,85,0,0,3,61,201612,
ADATA XPG SPECTRIX S20G M.2 NVMe,66590.0,https://prod.danawa.com/info/?pcode=13503713&cate=112760,ADATA,13503713,//img.danawa.com/prod_img/500000/713/503/img/13503713_1.jpg?shrink=330:*&_v=20210303172730,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,,"최대 2,500","최대 1,800",160,190,0,1,5,36,202103,
TeamGroup T-Force DELTA RGB,24620.0,https://prod.danawa.com/info/?pcode=6256530&cate=112760,TeamGroup T-Force,6256530,//img.danawa.com/prod_img/500000/530/256/img/6256530_1.jpg?shrink=330:*&_v=20191025093658,6.4cm(2.5형),SATA3 (6Gb/s),,250GB,,3D낸드,,,560,500,90,80,0,1,3,41,201806,
