name,price,link,company,product_seq,image,category,rated_power,80plus_certification,eta_certification,lambda_certification,voltage_fluctuation,output_method,availability,pfc_circuit,pf_factor,fan_size,fan_number,bearing,output_12v,cable_connection,depth,main_power,sub_power,pcie_16pin,pcie_8pin,pcie_6pin,sata,ide_4,rgb_connector,feature,inside,protection,as_years,reg_date,bookmark
마이크로닉스 COOLMAX P-850W 80PLUS PLATINUM ATX 3.0 (PCIE5),199000.0,https://prod.danawa.com/info/?pcode=19961018&cate=112777,마이크로닉스,19961018,//img.danawa.com/prod_img/500000/018/961/img/19961018_1.jpg?shrink=330:*&_v=20230427150838,ATX 파워,850,80 PLUS 플레티넘,,,1.3,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),70.8,풀모듈러,140,24핀(20+4),8핀(4+4) 1개,1.0,2.0,,8,4.0,,43,14,623,10,202304,
시소닉 FOCUS GOLD GX-1000 WHITE Full Modular V2,283000.0,https://prod.danawa.com/info/?pcode=16704593&cate=112777,시소닉,16704593,//img.danawa.com/prod_img/500000/593/704/img/16704593_1.jpg?shrink=330:*&_v=20220427105210,ATX 파워,1000,80 PLUS 골드,,,3.0,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),83,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,,3.0,,6,3.0,,63,6,383,10,202203,
잘만 MegaMax 700W 80PLUS STANDARD,62370.0,https://prod.danawa.com/info/?pcode=10174248&cate=112777,잘만,10174248,//img.danawa.com/prod_img/500000/248/174/img/10174248_1.jpg?shrink=330:*&_v=20230628095606,ATX 파워,700,80 PLUS 스탠다드,,,,+12V 싱글레일,90.0,액티브PFC,99.0,120.0,1,HDB/HYB,52.5,케이블일체형,140,24핀(20+4),8+4+4핀 1개,,4.0,,6,4.0,,42,2,43,6,201912,
잘만 EcoMax 600W,41540.0,https://prod.danawa.com/info/?pcode=6216877&cate=112777,잘만,6216877,//img.danawa.com/prod_img/500000/877/216/img/6216877_1.jpg?shrink=330:*&_v=20210118180229,ATX 파워,600,,,,,+12V 다중레일,90.0,,,120.0,1,,"25, 25",케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,3.0,,8,1,43,3,201806,
CORSAIR SF750 80 PLUS Platinum,258970.0,https://prod.danawa.com/info/?pcode=7110289&cate=112777,CORSAIR,7110289,//img.danawa.com/prod_img/500000/289/110/img/7110289_1.jpg?shrink=330:*&_v=20190221161246,M-ATX(SFX) 파워,750,80 PLUS 플레티넘,,,,+12V 싱글레일,,액티브PFC,,92.0,1,Rifle,62.5,풀모듈러,100,24핀(20+4),,,2.0,,4,3.0,,16,0,0,7,201901,
MSI MEG Ai1300P 80PLUS PLATINUM 풀모듈러 ATX 3.0 (PCIE5),394000.0,https://prod.danawa.com/info/?pcode=18146243&cate=112777,MSI,18146243,//img.danawa.com/prod_img/500000/243/146/img/18146243_1.jpg?shrink=330:*&_v=20230612095904,ATX 파워,1300,80 PLUS 플레티넘,,,,+12V 싱글/다중,100.0,액티브PFC,,120.0,1,HDB/HYB,108.33,풀모듈러,160,24핀(20+4) 1개,8핀(4+4) 2개,1.0,8.0,,16,4.0,,19,6,63,10,202210,
darkFlash UPMOST 1050W 80PLUS GOLD FULL MODULAR ATX3.0 (PCIE5) 블랙,173880.0,https://prod.danawa.com/info/?pcode=21547862&cate=112777,darkFlash,21547862,//img.danawa.com/prod_img/500000/862/547/img/21547862_1.jpg?shrink=330:*&_v=20230725131244,ATX 파워,1050,80 PLUS 골드,,,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),87.5,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,1.0,3.0,,12,4.0,,59,6,63,10,202307,
앱코 SUITMASTER AWESOME 600W 80PLUS Silver 230V EU,46750.0,https://prod.danawa.com/info/?pcode=7870858&cate=112777,앱코,7870858,//img.danawa.com/prod_img/500000/858/870/img/7870858_1.jpg?shrink=330:*&_v=20210721164616,ATX 파워,600,80 PLUS 실버,,,,+12V 싱글레일,90.0,액티브PFC,99.0,120.0,1,HDB/HYB,50,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,6,3.0,,40,4,47,7,201905,
Antec NeoECO 1000W 80PLUS GOLD 풀 모듈러 ATX 3.0 (PCIE5),239000.0,https://prod.danawa.com/info/?pcode=21587054&cate=112777,Antec,21587054,//img.danawa.com/prod_img/500000/054/587/img/21587054_1.jpg?shrink=330:*&_v=20230724111317,ATX 파워,1000,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,,120.0,1,FDB(유체),83,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,1.0,4.0,,12,4.0,,59,14,639,10,202307,
리안리 SP750 80PLUS GOLD BLACK,172280.0,https://prod.danawa.com/info/?pcode=16490357&cate=112777,리안리,16490357,//img.danawa.com/prod_img/500000/357/490/img/16490357_1.jpg?shrink=330:*&_v=20230418173135,M-ATX(SFX) 파워,750,80 PLUS 골드,TITANIUM,STANDARD+,,,99.0,,,92.0,1,FDB(유체),62,풀모듈러,100,24핀(20+4),,,3.0,,2,1.0,,19,0,63,5,202202,
