name,price,link,company,product_seq,image,cpu_socket,chipset,form_factor,memory_type,memory_number,memory_capacity,xmp,expo,sata3_number,m2_number,m2_interface,m2_formfactor,pcie_version,vga_connection,wireless_lan,wired_lan_speed,phase,graphic_output,back_panel,io_header,feature,reg_date,bookmark
ASRock B650M Pro RS 에즈윈,268500,https://prod.danawa.com/info/?pcode=20471477&cate=112751,ASRock,20471477,//img.danawa.com/prod_img/500000/477/471/img/20471477_1.jpg?shrink=330:*&_v=20230719102549,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,128,1.0,1.0,4,3,26,12,12,PCIe4.0 x16,4,25.0,11.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / BIOS 플래시백,11632,91,202306,
MSI MAG B660M 바주카 DDR4,1154000,https://prod.danawa.com/info/?pcode=16331876&cate=112751,MSI,16331876,//img.danawa.com/prod_img/500000/876/331/img/16331876_1.jpg?shrink=330:*&_v=20221104110909,인텔(소켓1700),인텔 B660,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,15,14,14,PCIe4.0 x16,0,25.0,14.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11568,72,202202,
ASUS ROG STRIX Z690-A GAMING WIFI D4 코잇,643800,https://prod.danawa.com/info/?pcode=15604190&cate=112751,ASUS,15604190,//img.danawa.com/prod_img/500000/190/604/img/15604190_1.jpg?shrink=330:*&_v=20220427160533,인텔(소켓1700),인텔 Z690,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,4,15,46,28,PCIe5.0 x16,3,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11376,90,202111,
ASUS TUF B450M-PLUS GAMING 대원씨티에스,159000,https://prod.danawa.com/info/?pcode=10526130&cate=112751,ASUS,10526130,//img.danawa.com/prod_img/500000/130/526/img/10526130_1.jpg?shrink=330:*&_v=20220712091917,AMD(소켓AM4),AMD B450,M-ATX (24.4x24.4cm),DDR4,4,64,,,6,1,5,46,4,PCIe3.0 x16,0,10.0,6.0,10,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,336,201807,
ASUS PRIME X570-P/CSM STCOM,477380,https://prod.danawa.com/info/?pcode=8511729&cate=112751,ASUS,8511729,//img.danawa.com/prod_img/500000/729/511/img/8511729_1.jpg?shrink=330:*&_v=20220517172328,AMD(소켓AM4),AMD X570,ATX (30.5x24.4cm),DDR4,4,128,,,6,2,7,46,10,PCIe4.0 x16,0,10.0,12.0,2,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,338,201907,
MSI MEG Z490 유니파이,424800,https://prod.danawa.com/info/?pcode=11319420&cate=112751,MSI,11319420,//img.danawa.com/prod_img/500000/420/319/img/11319420_1.jpg?shrink=330:*&_v=20200729084653,인텔(소켓1200),인텔 Z490,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,3,7,46,6,PCIe3.0 x16,3,25.0,17.0,0,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,0,72,202005,
GIGABYTE B660M GAMING X D4 제이씨현,329000,https://prod.danawa.com/info/?pcode=16168394&cate=112751,GIGABYTE,16168394,//img.danawa.com/prod_img/500000/394/168/img/16168394_1.jpg?shrink=330:*&_v=20220125135105,인텔(소켓1700),인텔 B660,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,14,12,14,PCIe4.0 x16,0,25.0,10.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,11440,74,202201,
MSI PRO Z690-A WIFI DDR4,1239000,https://prod.danawa.com/info/?pcode=15756542&cate=112751,MSI,15756542,//img.danawa.com/prod_img/500000/542/756/img/15756542_1.jpg?shrink=330:*&_v=20211123133041,인텔(소켓1700),인텔 Z690,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,4,15,46,30,PCIe5.0 x16,3,25.0,16.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11440,8,202111,
ASUS TUF Gaming B450M-PRO S STCOM,,https://prod.danawa.com/info/?pcode=11814517&cate=112751,ASUS,11814517,//img.danawa.com/prod_img/500000/517/814/img/11814517_1.jpg?shrink=330:*&_v=20230905111026,AMD(소켓AM4),AMD B450,M-ATX (24.4x24.4cm),DDR4,4,128,,,4,2,7,14,6,PCIe3.0 x16,0,25.0,,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,88,202007,
ASRock Z390M PRO4 디앤디컴,328630,https://prod.danawa.com/info/?pcode=6508751&cate=112751,ASRock,6508751,//img.danawa.com/prod_img/500000/751/508/img/6508751_1.jpg?shrink=330:*&_v=20230905095222,인텔(소켓1151v2),인텔 Z390,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,6,2,7,15,4,PCIe3.0 x16,4,10.0,10.0,26,USB 3.1 / USB 3.0 / RJ-45 / 오디오잭 / PS/2,0,64,201810,
ASRock B450M 스틸레전드 디앤디컴,,https://prod.danawa.com/info/?pcode=7097008&cate=112751,ASRock,7097008,//img.danawa.com/prod_img/500000/008/097/img/7097008_1.jpg?shrink=330:*&_v=20230905100607,AMD(소켓AM4),AMD B450,M-ATX (24.4x24.4cm),DDR4,4,128,,,4,2,7,15,4,PCIe3.0 x16,0,10.0,6.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,0,16,201901,
ASUS TUF Gaming B660M-PLUS WIFI D4 코잇,244590,https://prod.danawa.com/info/?pcode=16278929&cate=112751,ASUS,16278929,//img.danawa.com/prod_img/500000/929/278/img/16278929_1.jpg?shrink=330:*&_v=20220215141412,인텔(소켓1700),인텔 B660,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,14,14,30,PCIe5.0 x16,3,25.0,11.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3377,90,202201,
GIGABYTE TRX40 DESIGNARE 피씨디렉트,1340000,https://prod.danawa.com/info/?pcode=10114683&cate=112751,GIGABYTE,10114683,//img.danawa.com/prod_img/500000/683/114/img/10114683_1.jpg?shrink=330:*&_v=20210729135304,AMD(소켓sTRX4),AMD TRX40,XL-ATX (32.5x26.9cm),DDR4,8,256,1.0,,8,4,7,46,8,PCIe4.0 x16,3,10.0,19.0,0,USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,88,201911,
ASUS PRIME A520M-E STCOM,116000,https://prod.danawa.com/info/?pcode=12060446&cate=112751,ASUS,12060446,//img.danawa.com/prod_img/500000/446/060/img/12060446_1.jpg?shrink=330:*&_v=20210819135753,AMD(소켓AM4),AMD A520,M-ATX (22.6x22.1cm),DDR4,2,64,,,4,1,7,14,4,PCIe3.0 x16,0,10.0,,26,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202008,
ASRock X570 AQUA 에즈윈,1151120,https://prod.danawa.com/info/?pcode=9597318&cate=112751,ASRock,9597318,//img.danawa.com/prod_img/500000/318/597/img/9597318_1.jpg?shrink=330:*&_v=20230829105548,AMD(소켓AM4),AMD X570,ATX (30.5x26.7cm),DDR4,4,128,,,8,2,7,44,10,PCIe4.0 x16,3,100.0,14.0,6,USB 3.0 / 썬더볼트3 / RJ-45 / S/PDIF / 오디오잭 / PS/2,3248,346,201910,
ECS DURATHON2 GLKD-I-J4005 코잇 (벌크) (기본),108000,https://prod.danawa.com/info/?pcode=10525329&cate=112751,ECS,10525329,//img.danawa.com/prod_img/500000/329/525/img/10525329_1.jpg?shrink=330:*&_v=20220203162025,인텔(CPU내장),인텔 셀러론 J4005,M-iTX (17.0x17.0cm),DDR4,1,8,,,2,1,1,14,0,,4,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / PS/2,0,64,202002,
ASRock H610M-HDVP/D5 R2.0 에즈윈 (벌크),116030,https://prod.danawa.com/info/?pcode=19671590&cate=112751,ASRock,19671590,//img.danawa.com/prod_img/500000/590/671/img/19671590_1.jpg?shrink=330:*&_v=20230406155448,인텔(소켓1700),인텔 H610,M-ATX (24.3x19.8cm),DDR5,2,96,2.0,,4,1,7,14,14,PCIe4.0 x16,0,10.0,5.0,30,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / 시리얼포트,8240,64,202304,
ECS DURATHON2 GLKD-I-J4025 코잇 (벌크) (기본),107990,https://prod.danawa.com/info/?pcode=12840617&cate=112751,ECS,12840617,//img.danawa.com/prod_img/500000/617/840/img/12840617_1.jpg?shrink=330:*&_v=20210319111834,인텔(CPU내장),인텔 셀러론 J4025,M-iTX (17.0x17.0cm),DDR4 노트북용,1,8,,,2,1,1,14,0,,4,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / PS/2,0,64,202012,
GIGABYTE A520M S2H 듀러블에디션 피씨디렉트,93250,https://prod.danawa.com/info/?pcode=12083765&cate=112751,GIGABYTE,12083765,//img.danawa.com/prod_img/500000/765/083/img/12083765_1.jpg?shrink=330:*&_v=20210804173005,AMD(소켓AM4),AMD A520,M-ATX (24.4x20.5cm),DDR4,2,64,1.0,,4,1,7,46,4,PCIe3.0 x16,0,10.0,7.0,26,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,64,202008,
ASUS PRIME B450M-A 대원씨티에스,195780,https://prod.danawa.com/info/?pcode=7452226&cate=112751,ASUS PRIME,7452226,//img.danawa.com/prod_img/500000/226/452/img/7452226_1.jpg?shrink=330:*&_v=20230905094707,AMD(소켓AM4),AMD B450,M-ATX (24.4x24.4cm),DDR4,4,64,,,6,1,7,46,4,PCIe3.0 x16,0,10.0,6.0,26,USB 3.1 / USB 3.0 / RJ-45 / 오디오잭 / PS/2,0,336,201807,
ASUS TUF Gaming A520M-PLUS 대원씨티에스,163710,https://prod.danawa.com/info/?pcode=12069485&cate=112751,ASUS,12069485,//img.danawa.com/prod_img/500000/485/069/img/12069485_1.jpg?shrink=330:*&_v=20230905094154,AMD(소켓AM4),AMD A520,M-ATX (24.4x24.4cm),DDR4,4,128,,,4,1,7,46,4,PCIe3.0 x16,0,10.0,,26,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,9264,64,202008,
ASUS PRIME H410M-E 인텍앤컴퍼니,116000,https://prod.danawa.com/info/?pcode=11408766&cate=112751,ASUS,11408766,//img.danawa.com/prod_img/500000/766/408/img/11408766_1.jpg?shrink=330:*&_v=20210311110837,인텔(소켓1200),인텔 H410,M-ATX (22.6x20.3cm),DDR4,2,64,1.0,,4,1,5,14,4,PCIe3.0 x16,0,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,0,64,202005,
ASUS PRIME Z490M-PLUS 인텍앤컴퍼니,,https://prod.danawa.com/info/?pcode=11224182&cate=112751,ASUS,11224182,//img.danawa.com/prod_img/500000/182/224/img/11224182_1.jpg?shrink=330:*&_v=20200730170354,인텔(소켓1200),인텔 Z490,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,5,2,7,46,0,PCIe3.0 x16,0,10.0,9.0,14,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,0,202005,
GIGABYTE Z690 AERO G D4 피씨디렉트,379000,https://prod.danawa.com/info/?pcode=15626120&cate=112751,GIGABYTE,15626120,//img.danawa.com/prod_img/500000/120/626/img/15626120_1.jpg?shrink=330:*&_v=20220125135248,인텔(소켓1700),인텔 Z690,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,4,15,44,30,PCIe5.0 x16,3,25.0,19.0,7,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3184,8,202111,
ASUS PRIME Z690-P WIFI STCOM,395120,https://prod.danawa.com/info/?pcode=15599711&cate=112751,ASUS,15599711,//img.danawa.com/prod_img/500000/711/599/img/15599711_1.jpg?shrink=330:*&_v=20211105153024,인텔(소켓1700),인텔 Z690,ATX (30.5x23.4cm),DDR5,4,128,1.0,,4,3,15,46,28,PCIe5.0 x16,3,25.0,15.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,11569,74,202111,
ASRock H610M-ITX/ac D4 에즈윈,208500,https://prod.danawa.com/info/?pcode=16333610&cate=112751,ASRock,16333610,//img.danawa.com/prod_img/500000/610/333/img/16333610_1.jpg?shrink=330:*&_v=20220414133459,인텔(소켓1700),인텔 H610,M-iTX (17.0x17.0cm),DDR4,2,64,1.0,,4,1,7,8,14,PCIe4.0 x16,3,10.0,6.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,2096,66,202202,
ASUS EX B660M-V5 D4 코잇,143000,https://prod.danawa.com/info/?pcode=16095542&cate=112751,ASUS,16095542,//img.danawa.com/prod_img/500000/542/095/img/16095542_1.jpg?shrink=330:*&_v=20220905131207,인텔(소켓1700),인텔 B660,M-ATX (24.4x21.1cm),DDR4,2,64,1.0,,4,2,14,14,14,PCIe4.0 x16,0,10.0,8.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,48,64,202201,
ASUS TUF Gaming H670-PRO WIFI D4 인텍앤컴퍼니,409830,https://prod.danawa.com/info/?pcode=16085843&cate=112751,ASUS,16085843,//img.danawa.com/prod_img/500000/843/085/img/16085843_1.jpg?shrink=330:*&_v=20220221102151,인텔(소켓1700),인텔 H670,ATX (30.5x24.4cm),DDR4,4,128,1.0,,4,4,15,46,30,PCIe5.0 x16,3,25.0,15.0,6,USB 3.2 / USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,3377,90,202201,
ASUS ROG STRIX Z690-I GAMING WIFI 인텍앤컴퍼니,641930,https://prod.danawa.com/info/?pcode=15616700&cate=112751,ASUS,15616700,//img.danawa.com/prod_img/500000/700/616/img/15616700_1.jpg?shrink=330:*&_v=20211111150652,인텔(소켓1700),인텔 Z690,M-iTX (17.0x17.0cm),DDR5,2,64,1.0,,4,2,15,14,28,PCIe5.0 x16,3,25.0,11.0,3,USB 3.1 / USB 3.0 / USB 2.0 / 썬더볼트4 / RJ-45 / S/PDIF / 오디오잭,3184,72,202111,
ASUS WS C422 SAGE/10G STCOM,1291990,https://prod.danawa.com/info/?pcode=19554155&cate=112751,ASUS,19554155,//img.danawa.com/prod_img/500000/155/554/img/19554155_1.jpg?shrink=330:*&_v=20230329155435,인텔(소켓2066),인텔 C422,CEB (30.5x26.7cm),DDR4,8,1024,,,8,2,7,46,4,PCIe3.0 x16,0,100.0,,0,USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,11282,64,202303,
ASRock B660 Pro RS D4 에즈윈,218500,https://prod.danawa.com/info/?pcode=16145474&cate=112751,ASRock,16145474,//img.danawa.com/prod_img/500000/474/145/img/16145474_1.jpg?shrink=330:*&_v=20220110154453,인텔(소켓1700),인텔 B660,ATX (30.5x24.4cm),DDR4,4,128,1.0,,4,3,15,44,14,PCIe4.0 x16,4,10.0,8.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11569,88,202201,
ASUS PRIME H310M-K R2.0 인텍앤컴퍼니,,https://prod.danawa.com/info/?pcode=6494926&cate=112751,ASUS PRIME,6494926,//img.danawa.com/prod_img/500000/926/494/img/6494926_1.jpg?shrink=330:*&_v=20181002095218,인텔(소켓1151v2),인텔 H310,M-ATX (22.6x18.5cm),DDR4,2,32,1.0,,4,,0,0,2,,0,10.0,4.0,24,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,64,201808,
GIGABYTE TRX40 AORUS XTREME 피씨디렉트,1675200,https://prod.danawa.com/info/?pcode=10132605&cate=112751,GIGABYTE,10132605,//img.danawa.com/prod_img/500000/605/132/img/10132605_1.jpg?shrink=330:*&_v=20210729135431,AMD(소켓sTRX4),AMD TRX40,XL-ATX (32.5x27.5cm),DDR4,8,256,1.0,,10,4,7,44,10,PCIe4.0 x16,3,10.0,19.0,0,USB 3.1 / RJ-45 / S/PDIF / 오디오잭,11440,88,201912,
AFOX IH61-MA5-V2 에즈윈,300000,https://prod.danawa.com/info/?pcode=14043278&cate=112751,AFOX,14043278,//img.danawa.com/prod_img/500000/278/043/img/14043278_1.jpg?shrink=330:*&_v=20220324091257,인텔(소켓1155),인텔 H61,M-ATX (19x17cm),DDR3,2,16,,,,,0,0,4,PCIe3.0 x16,0,1.0,,18,USB 2.0 / RJ-45,0,0,202104,
ECS DURATHON2 GLKD-I-N4120 V1.1 코잇 (기본),138000,https://prod.danawa.com/info/?pcode=15826865&cate=112751,ECS,15826865,//img.danawa.com/prod_img/500000/865/826/img/15826865_1.jpg?shrink=330:*&_v=20220103140854,인텔(CPU내장),인텔 셀러론 N4120,M-iTX (17.0x17.0cm),DDR4 노트북용,1,8,,,2,1,1,8,0,,4,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / PS/2,32,64,202112,
GIGABYTE Z690 AERO G 피씨디렉트,,https://prod.danawa.com/info/?pcode=15626513&cate=112751,GIGABYTE,15626513,//img.danawa.com/prod_img/500000/513/626/img/15626513_1.jpg?shrink=330:*&_v=20220428160118,인텔(소켓1700),인텔 Z690,ATX (30.5x24.4cm),DDR5,4,128,1.0,,6,4,15,44,28,PCIe5.0 x16,3,25.0,19.0,7,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3184,8,202111,
ASRock B450 PRO4 디앤디컴,255130,https://prod.danawa.com/info/?pcode=6494014&cate=112751,ASRock,6494014,//img.danawa.com/prod_img/500000/014/494/img/6494014_1.jpg?shrink=330:*&_v=20230905095948,AMD(소켓AM4),AMD B450,ATX (30.5x22.4cm),DDR4,4,64,,,6,2,7,47,4,PCIe3.0 x16,0,10.0,9.0,22,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,0,256,201808,
ASUS PRIME B760-PLUS 인텍앤컴퍼니,261000,https://prod.danawa.com/info/?pcode=19772519&cate=112751,ASUS,19772519,//img.danawa.com/prod_img/500000/519/772/img/19772519_1.jpg?shrink=330:*&_v=20230915164304,인텔(소켓1700),인텔 B760,ATX (30.5x24.4cm),DDR5,4,128,1.0,,4,3,10,46,28,PCIe5.0 x16,4,25.0,10.0,22,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11572,73,202304,
ASUS ROG STRIX B760-F GAMING WIFI 코잇,427690,https://prod.danawa.com/info/?pcode=18716702&cate=112751,ASUS,18716702,//img.danawa.com/prod_img/500000/702/716/img/18716702_1.jpg?shrink=330:*&_v=20230110152323,인텔(소켓1700),인텔 B760,ATX (30.5x24.4cm),DDR5,4,128,1.0,,4,3,10,46,20,PCIe5.0 x16,3,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,3252,89,202301,
GIGABYTE B550M K 제이씨현,,https://prod.danawa.com/info/?pcode=19545191&cate=112751,GIGABYTE,19545191,//img.danawa.com/prod_img/500000/191/545/img/19545191_1.jpg?shrink=330:*&_v=20230329094440,AMD(소켓AM4),AMD B550,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,7,8,12,PCIe4.0 x16,0,10.0,6.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202303,
MSI MAG Z690 토마호크 WIFI,1369000,https://prod.danawa.com/info/?pcode=15693545&cate=112751,MSI,15693545,//img.danawa.com/prod_img/500000/545/693/img/15693545_1.jpg?shrink=330:*&_v=20230517162117,인텔(소켓1700),인텔 Z690,ATX (30.5x24.4cm),DDR5,4,128,2.0,,6,4,15,46,30,PCIe5.0 x16,3,25.0,18.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,74,202111,
ASUS PRIME Z690M-PLUS D4 인텍앤컴퍼니,276530,https://prod.danawa.com/info/?pcode=15616640&cate=112751,ASUS,15616640,//img.danawa.com/prod_img/500000/640/616/img/15616640_1.jpg?shrink=330:*&_v=20220328095243,인텔(소켓1700),인텔 Z690,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,3,15,14,30,PCIe5.0 x16,4,10.0,11.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,11569,66,202111,
MSI MAG B560M 박격포,1120000,https://prod.danawa.com/info/?pcode=13760447&cate=112751,MSI,13760447,//img.danawa.com/prod_img/500000/447/760/img/13760447_1.jpg?shrink=330:*&_v=20220608135632,인텔(소켓1200),인텔 B560,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,6,2,15,14,12,PCIe4.0 x16,0,25.0,15.0,6,USB 3.2 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,72,202103,
ASRock B460 스틸레전드 디앤디컴,276800,https://prod.danawa.com/info/?pcode=11674511&cate=112751,ASRock,11674511,//img.danawa.com/prod_img/500000/511/674/img/11674511_1.jpg?shrink=330:*&_v=20200701121852,인텔(소켓1200),인텔 B460,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,2,7,46,4,PCIe3.0 x16,0,25.0,9.0,6,USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,0,88,202006,
GIGABYTE Z690 AORUS ELITE D4 제이씨현,325000,https://prod.danawa.com/info/?pcode=15600512&cate=112751,GIGABYTE,15600512,//img.danawa.com/prod_img/500000/512/600/img/15600512_1.jpg?shrink=330:*&_v=20220428161255,인텔(소켓1700),인텔 Z690,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,4,15,44,30,PCIe5.0 x16,0,25.0,19.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,24,202111,
MSI MEG Z690 에이스,1500000,https://prod.danawa.com/info/?pcode=15943754&cate=112751,MSI,15943754,//img.danawa.com/prod_img/500000/754/943/img/15943754_1.jpg?shrink=330:*&_v=20220217175931,인텔(소켓1700),인텔 Z690,E-ATX (30.5x27.7cm),DDR5,4,128,2.0,,6,5,15,44,30,PCIe5.0 x16,3,25.0,22.0,4,USB 3.1 / 썬더볼트4 / RJ-45 / S/PDIF / 오디오잭,11376,74,202112,
ASUS PRIME X570-PRO/CSM STCOM,680530,https://prod.danawa.com/info/?pcode=8511207&cate=112751,ASUS,8511207,//img.danawa.com/prod_img/500000/207/511/img/8511207_1.jpg?shrink=330:*&_v=20220517170446,AMD(소켓AM4),AMD X570,ATX (30.5x24.4cm),DDR4,4,128,,,6,2,7,46,10,PCIe4.0 x16,0,10.0,14.0,6,USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,11440,346,201907,
ASRock B560 PRO4 에즈윈,400000,https://prod.danawa.com/info/?pcode=13289012&cate=112751,ASRock,13289012,//img.danawa.com/prod_img/500000/012/289/img/13289012_1.jpg?shrink=330:*&_v=20210902155545,인텔(소켓1200),인텔 B560,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,3,15,47,14,PCIe4.0 x16,4,10.0,8.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11568,88,202102,
ASUS TUF Gaming A520M-PLUS STCOM,,https://prod.danawa.com/info/?pcode=12060134&cate=112751,ASUS,12060134,//img.danawa.com/prod_img/500000/134/060/img/12060134_1.jpg?shrink=330:*&_v=20210819135700,AMD(소켓AM4),AMD A520,M-ATX (24.4x24.4cm),DDR4,4,128,,,4,1,7,46,4,PCIe3.0 x16,0,10.0,,26,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,9264,64,202008,
GIGABYTE X470 AORUS Gaming 7 WiFi 피씨디렉트,636950,https://prod.danawa.com/info/?pcode=6716767&cate=112751,GIGABYTE,6716767,//img.danawa.com/prod_img/500000/767/716/img/6716767_1.jpg?shrink=330:*&_v=20230829111636,AMD(소켓AM4),AMD X470,ATX (30.5x24.4cm),DDR4,4,64,1.0,,6,2,7,46,4,PCIe3.0 x16,3,10.0,12.0,0,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,0,88,201804,
GIGABYTE Z690 AORUS XTREME WATERFORCE 피씨디렉트,1266000,https://prod.danawa.com/info/?pcode=15932150&cate=112751,GIGABYTE,15932150,//img.danawa.com/prod_img/500000/150/932/img/15932150_1.jpg?shrink=330:*&_v=20221014151307,인텔(소켓1700),인텔 Z690,E-ATX (30.5x28.5cm),DDR5,4,128,2.0,,4,4,15,44,30,PCIe5.0 x16,3,100.0,23.0,1,USB 3.1 / 썬더볼트4 / RJ-45 / S/PDIF / 오디오잭,3184,90,202112,
ASRock X570 PRO4 에즈윈,413300,https://prod.danawa.com/info/?pcode=8506491&cate=112751,ASRock,8506491,//img.danawa.com/prod_img/500000/491/506/img/8506491_1.jpg?shrink=330:*&_v=20230905102604,AMD(소켓AM4),AMD X570,ATX (30.5x24.4cm),DDR4,4,128,,,8,2,7,47,10,PCIe4.0 x16,4,10.0,10.0,6,USB 3.1 / USB 3.0 / RJ-45 / 오디오잭 / PS/2,11314,328,201907,
MSI MEG Z690 유니파이-X,1400000,https://prod.danawa.com/info/?pcode=15896510&cate=112751,MSI,15896510,//img.danawa.com/prod_img/500000/510/896/img/15896510_1.jpg?shrink=330:*&_v=20220217180042,인텔(소켓1700),인텔 Z690,ATX (30.5x24.4cm),DDR5,2,64,2.0,,6,5,15,44,30,PCIe5.0 x16,3,25.0,21.0,0,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,11376,74,202112,
GIGABYTE X470 AORUS Gaming 7 WiFi-50 피씨디렉트,641400,https://prod.danawa.com/info/?pcode=8870018&cate=112751,GIGABYTE,8870018,//img.danawa.com/prod_img/500000/018/870/img/8870018_1.jpg?shrink=330:*&_v=20230829111427,AMD(소켓AM4),AMD X470,ATX (30.5x24.4cm),DDR4,4,64,,,6,2,7,46,4,PCIe3.0 x16,3,10.0,12.0,0,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,0,88,201905,
GIGABYTE Z390 AORUS MASTER 제이씨현,796030,https://prod.danawa.com/info/?pcode=6508368&cate=112751,GIGABYTE,6508368,//img.danawa.com/prod_img/500000/368/508/img/6508368_1.jpg?shrink=330:*&_v=20230829103715,인텔(소켓1151v2),인텔 Z390,ATX (30.5x24.4cm),DDR4,4,128,1.0,,6,3,7,46,4,PCIe3.0 x16,1,10.0,14.0,2,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,0,88,201810,
ASUS TUF H370-PRO GAMING (Wi-Fi) STCOM,378260,https://prod.danawa.com/info/?pcode=6023621&cate=112751,ASUS TUF,6023621,//img.danawa.com/prod_img/500000/621/023/img/6023621_1.jpg?shrink=330:*&_v=20230905104224,인텔(소켓1151v2),인텔 H370,ATX (30.5x24.4cm),DDR4,4,64,1.0,,6,2,5,46,4,PCIe3.0 x16,3,10.0,6.0,22,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,80,201804,
