name,price,link,company,product_seq,image,cpu_socket,chipset,form_factor,memory_type,memory_number,memory_capacity,xmp,expo,sata3_number,m2_number,m2_interface,m2_formfactor,pcie_version,vga_connection,wireless_lan,wired_lan_speed,phase,graphic_output,back_panel,io_header,feature,reg_date,bookmark
ASRock B760M PG Riptide D5 대원씨티에스,187600,https://prod.danawa.com/info/?pcode=27634160&cate=112751,ASRock,27634160,//img.danawa.com/prod_img/500000/160/634/img/27634160_1.jpg?shrink=330:*&_v=20230817151617,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,4,2,10,8,8,PCIe4.0 x16,4,25.0,16.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11568,217,202308,
ASRock H610M-HDV/M.2+ D5 대원씨티에스,108490,https://prod.danawa.com/info/?pcode=27546074&cate=112751,ASRock,27546074,//img.danawa.com/prod_img/500000/074/546/img/27546074_1.jpg?shrink=330:*&_v=20230823110438,인텔(소켓1700),인텔 H610,M-ATX (22.0x19.3cm),DDR5,2,96,2.0,,4,1,6,14,12,PCIe4.0 x16,0,10.0,8.0,22,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,10288,64,202308,
ASUS PRO WS W680-ACE STCOM,512910,https://prod.danawa.com/info/?pcode=19556996&cate=112751,ASUS PRO WS,19556996,//img.danawa.com/prod_img/500000/996/556/img/19556996_1.jpg?shrink=330:*&_v=20230801172107,인텔(소켓1700),인텔 W680,ATX (30.5x24.4cm),DDR5,4,128,1.0,,4,3,7,46,20,PCIe5.0 x16,4,25.0,,22,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,8370,73,202303,
ASUS TUF Gaming Z790-PLUS D4 인텍앤컴퍼니,323040,https://prod.danawa.com/info/?pcode=18044417&cate=112751,ASUS,18044417,//img.danawa.com/prod_img/500000/417/044/img/18044417_1.jpg?shrink=330:*&_v=20221025093535,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR4,4,128,1.0,,4,4,11,46,28,PCIe5.0 x16,0,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,3252,91,202210,
ASRock A520M-HDV 대원씨티에스 (벌크),71680,https://prod.danawa.com/info/?pcode=21695969&cate=112751,ASRock,21695969,//img.danawa.com/prod_img/500000/969/695/img/21695969_1.jpg?shrink=330:*&_v=20230724100433,AMD(소켓AM4),AMD A520,M-ATX (23.0x20.1cm),DDR4,2,64,,,4,1,7,0,4,PCIe3.0 x16,0,10.0,6.0,26,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202307,
ASUS PRIME A520M-K STCOM,80950,https://prod.danawa.com/info/?pcode=12060293&cate=112751,ASUS,12060293,//img.danawa.com/prod_img/500000/293/060/img/12060293_1.jpg?shrink=330:*&_v=20220429165348,AMD(소켓AM4),AMD A520,M-ATX (22.6x22.1cm),DDR4,2,64,,,4,1,7,14,4,PCIe3.0 x16,0,10.0,6.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202008,
BIOSTAR H610MH D5 이엠텍,95220,https://prod.danawa.com/info/?pcode=20178734&cate=112751,BIOSTAR,20178734,//img.danawa.com/prod_img/500000/734/178/img/20178734_1.jpg?shrink=330:*&_v=20230808104849,인텔(소켓1700),인텔 H610,M-ATX (23.6x20.8cm),DDR5,2,96,1.0,,4,1,7,14,12,PCIe4.0 x16,0,10.0,10.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202305,
ASRock B650M PG Riptide 디앤디컴,240920,https://prod.danawa.com/info/?pcode=17971199&cate=112751,ASRock,17971199,//img.danawa.com/prod_img/500000/199/971/img/17971199_1.jpg?shrink=330:*&_v=20230901155707,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,1.0,1.0,4,2,26,12,12,PCIe4.0 x16,0,25.0,15.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,11569,93,202210,
GIGABYTE B760M GAMING X 제이씨현,189830,https://prod.danawa.com/info/?pcode=19098683&cate=112751,GIGABYTE,19098683,//img.danawa.com/prod_img/500000/683/098/img/19098683_1.jpg?shrink=330:*&_v=20230222104307,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,128,2.0,,4,2,10,40,12,PCIe4.0 x16,0,25.0,10.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,11440,73,202302,
ASUS ROG STRIX Z790-I GAMING WIFI 인텍앤컴퍼니,671630,https://prod.danawa.com/info/?pcode=18474035&cate=112751,ASUS,18474035,//img.danawa.com/prod_img/500000/035/474/img/18474035_1.jpg?shrink=330:*&_v=20221212124116,인텔(소켓1700),인텔 Z790,M-iTX (17.0x17.0cm),DDR5,2,64,1.0,,2,2,26,14,16,PCIe5.0 x16,3,25.0,11.0,3,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / 썬더볼트4 / RJ-45,3152,73,202210,
MSI PRO B760M-P,159000,https://prod.danawa.com/info/?pcode=20171636&cate=112751,MSI,20171636,//img.danawa.com/prod_img/500000/636/171/img/20171636_1.jpg?shrink=330:*&_v=20230515174223,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,1.0,,4,2,10,14,8,PCIe4.0 x16,0,10.0,8.0,22,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,1072,72,202305,
ASRock B760M PG LIGHTNING D5 디앤디컴,157178,https://prod.danawa.com/info/?pcode=20524469&cate=112751,ASRock,20524469,//img.danawa.com/prod_img/500000/469/524/img/20524469_1.jpg?shrink=330:*&_v=20230613180941,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,4,3,10,14,20,PCIe4.0 x16,4,25.0,9.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8193,75,202306,
ASRock X670E Taichi 대원씨티에스,773030,https://prod.danawa.com/info/?pcode=17926769&cate=112751,ASRock,17926769,//img.danawa.com/prod_img/500000/769/926/img/17926769_1.jpg?shrink=330:*&_v=20220927225028,AMD(소켓AM5),AMD X670E,E-ATX (30.5x26.7cm),DDR5,4,128,1.0,1.0,8,4,27,47,16,PCIe5.0 x16,3,25.0,27.0,3,USB4 / USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,3184,92,202209,
ASUS PRIME A320M-K STCOM,71980,https://prod.danawa.com/info/?pcode=5143863&cate=112751,ASUS PRIME,5143863,//img.danawa.com/prod_img/500000/863/143/img/5143863_1.jpg?shrink=330:*&_v=20221213155950,AMD(소켓AM4),AMD A320,M-ATX (22.6x22.1cm),DDR4,2,32,,,4,1,7,14,2,,0,10.0,6.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,64,201705,
ASRock B560M-HDV/M.2 디앤디컴 (벌크),94990,https://prod.danawa.com/info/?pcode=20280200&cate=112751,ASRock,20280200,//img.danawa.com/prod_img/500000/200/280/img/20280200_1.jpg?shrink=330:*&_v=20230523135200,인텔(소켓1200),인텔 B560,M-ATX (22.6x18.8cm),DDR4,2,64,1.0,,4,1,6,8,12,PCIe4.0 x16,0,10.0,5.0,26,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202305,
GIGABYTE B760M AORUS ELITE D4 제이씨현,179980,https://prod.danawa.com/info/?pcode=18650078&cate=112751,GIGABYTE,18650078,//img.danawa.com/prod_img/500000/078/650/img/18650078_1.jpg?shrink=330:*&_v=20230103230003,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR4,4,128,2.0,,4,2,10,40,8,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,91,202301,
