name,price,link,company,product_seq,image,category,cooling_type,aircool_form,tdp,intel_socket,amd_socket,fan_size,fan_count,airflow,noise,width,length,height,radiator,radiator_length,radiator_thickness,hose_length,feature,as_years,reg_date,bookmark
NOCTUA NH-L9a-AM5 chromax.black,81190.0,https://prod.danawa.com/info/?pcode=19230371&cate=11236855,NOCTUA,19230371,//img.danawa.com/prod_img/500000/371/230/img/19230371_1.jpg?shrink=330:*&_v=20230803100653,CPU 쿨러,0.0,3.0,95,0,1,92,1,33,23.6,92.0,,37,,,,,2,,202303,
ARCTIC F12 PWM PST VALUE PACK BLACK,36810.0,https://prod.danawa.com/info/?pcode=15097505&cate=11236855,ARCTIC,15097505,//img.danawa.com/prod_img/500000/505/097/img/15097505_1.jpg?shrink=330:*&_v=20210826150853,시스템 쿨러,,,,0,0,120,5,53,,,,,,,,,2,,202108,
ARCTIC Alpine 17,12500.0,https://prod.danawa.com/info/?pcode=19402913&cate=11236855,ARCTIC,19402913,//img.danawa.com/prod_img/500000/913/402/img/19402913_1.jpg?shrink=330:*&_v=20230317124154,CPU 쿨러,0.0,2.0,,1,0,92,1,,,95.0,,66.25,,,,,2,6,202303,
DYNATRON S3,81700.0,https://prod.danawa.com/info/?pcode=16311476&cate=11236855,DYNATRON,16311476,//img.danawa.com/prod_img/500000/476/311/img/16311476_1.jpg?shrink=330:*&_v=20220203152036,CPU 쿨러,0.0,,205,8,0,80,,26.25,62.2,,,27,,,,,2,,202202,
DYNATRON B3,66020.0,https://prod.danawa.com/info/?pcode=5759510&cate=11236855,DYNATRON,5759510,//img.danawa.com/prod_img/500000/510/759/img/5759510_1.jpg?shrink=330:*&_v=20230605181152,CPU 쿨러,0.0,,165,64,0,80,,21,57.1,,,28,,,,,2,,201712,
Thermalright TL-B14B EXTREM 서린,32430.0,https://prod.danawa.com/info/?pcode=17754329&cate=11236855,Thermalright,17754329,//img.danawa.com/prod_img/500000/329/754/img/17754329_1.jpg?shrink=330:*&_v=20220831084828,시스템 쿨러,,,,0,0,140,1,110.4,31.4,,,,,,,,2,6,202207,
SilverStone SST-AS120 STCOM,13990.0,https://prod.danawa.com/info/?pcode=16334033&cate=11236855,SilverStone,16334033,//img.danawa.com/prod_img/500000/033/334/img/16334033_1.jpg?shrink=330:*&_v=20220207152337,시스템 쿨러,,,,0,0,120,,63.67,31.7,,,,,,,,2,,202202,
NOCTUA NH-L9i chromax.black,83260.0,https://prod.danawa.com/info/?pcode=9964281&cate=11236855,NOCTUA,9964281,//img.danawa.com/prod_img/500000/281/964/img/9964281_1.jpg?shrink=330:*&_v=20230803100654,CPU 쿨러,0.0,3.0,,6,0,92,1,,23.6,,,37,,,,,0,,201911,
CORSAIR iCUE AR120 Digital RGB WHITE (1PACK),19250.0,https://prod.danawa.com/info/?pcode=21688454&cate=11236855,CORSAIR,21688454,//img.danawa.com/prod_img/500000/454/688/img/21688454_1.jpg?shrink=330:*&_v=20230721161012,시스템 쿨러,,,,0,0,120,1,59,27.3,,,,,,,,1027,2,202307,
COOLERTEC SUPER LED RING 20025 (WHITE),13190.0,https://prod.danawa.com/info/?pcode=9817971&cate=11236855,COOLERTEC,9817971,//img.danawa.com/prod_img/500000/971/817/img/9817971_1.jpg?shrink=330:*&_v=20191101144926,시스템 쿨러,,,,0,0,200,1,53.6,12,,,,,,,,1,,201911,
Thermalright AXP120-X67 ARGB (WHITE),66220.0,https://prod.danawa.com/info/?pcode=17110790&cate=11236855,Thermalright,17110790,//img.danawa.com/prod_img/500000/790/110/img/17110790_1.jpg?shrink=330:*&_v=20220524095401,CPU 쿨러,0.0,2.0,,423,2,120,1,59,26.1,120.0,,67,,,,,3,3,202205,
ARCTIC P8 PWM PST (1PACK),7760.0,https://prod.danawa.com/info/?pcode=18570290&cate=11236855,ARCTIC,18570290,//img.danawa.com/prod_img/500000/290/570/img/18570290_1.jpg?shrink=330:*&_v=20221222080127,시스템 쿨러,,,,0,0,80,1,23.4,,,,,,,,,1026,6,202211,
SilverStone SST-AB120RW-ARGB,16390.0,https://prod.danawa.com/info/?pcode=14452991&cate=11236855,SilverStone,14452991,//img.danawa.com/prod_img/500000/991/452/img/14452991_1.jpg?shrink=330:*&_v=20210805164138,시스템 쿨러,,,,0,0,120,,94,35.6,,,,,,,,3,,202106,
라인업시스템 LANSTAR LS-M2HEAT M.2 2280 SSD 방열판,3490.0,https://prod.danawa.com/info/?pcode=16899269&cate=11236855,라인업시스템,16899269,//img.danawa.com/prod_img/500000/269/899/img/16899269_1.jpg?shrink=330:*&_v=20221026155520,M.2 SSD 쿨러,,,,0,0,,,,,70.0,22.0,,,,,,0,,202204,
SilverStone SST- AR12-TUF,34270.0,https://prod.danawa.com/info/?pcode=15302507&cate=11236855,SilverStone,15302507,//img.danawa.com/prod_img/500000/507/302/img/15302507_1.jpg?shrink=330:*&_v=20230321170343,CPU 쿨러,0.0,0.0,,1831,7,120,1,69.26,34.4,128.0,,154,,,,,3,,202109,
쿨러마스터 H115 병행수입,8220.0,https://prod.danawa.com/info/?pcode=12319754&cate=11236855,쿨러마스터,12319754,//img.danawa.com/prod_img/500000/754/319/img/12319754_1.jpg?shrink=330:*&_v=20200921151853,CPU 쿨러,0.0,3.0,,6,0,80,1,,25,,,27,,,,,0,,202009,
DYNATRON B5,66080.0,https://prod.danawa.com/info/?pcode=5759543&cate=11236855,DYNATRON,5759543,//img.danawa.com/prod_img/500000/543/759/img/5759543_1.jpg?shrink=330:*&_v=20230614134528,CPU 쿨러,0.0,,205,64,0,60,,40.6,50,,,66,,,,,2,,201712,
Thermalright FROST SPIRIT 140 WHITE V3 ARGB,87160.0,https://prod.danawa.com/info/?pcode=15335420&cate=11236855,Thermalright,15335420,//img.danawa.com/prod_img/500000/420/335/img/15335420_1.jpg?shrink=330:*&_v=20230609171822,CPU 쿨러,0.0,1.0,255,422,2,140,2,77.8,25.6,140.0,,160,,,,,3,,202109,
Thermalright FROZEN HORIZON 360 ARGB (BLACK),178300.0,https://prod.danawa.com/info/?pcode=18311891&cate=11236855,Thermalright,18311891,//img.danawa.com/prod_img/500000/891/311/img/18311891_1.jpg?shrink=330:*&_v=20221117144207,CPU 쿨러,1.0,,,423,3,120,3,69,28.1,,,,3.0,397,27,450,3,6,202211,
DYNATRON N3,71380.0,https://prod.danawa.com/info/?pcode=16593428&cate=11236855,DYNATRON,16593428,//img.danawa.com/prod_img/500000/428/593/img/16593428_1.jpg?shrink=330:*&_v=20220315135143,CPU 쿨러,0.0,,205,16,0,80,,26.25,62.2,,,27,,,,,2,,202203,
발키리 C360 ARGB (WHITE),148000.0,https://prod.danawa.com/info/?pcode=20505089&cate=11236855,발키리,20505089,//img.danawa.com/prod_img/500000/089/505/img/20505089_1.jpg?shrink=330:*&_v=20230612150452,CPU 쿨러,1.0,,300,389,3,120,3,75,34,,,,3.0,397,27,,11,5,202306,
NOCTUA NH-U9 TR4-SP3,125940.0,https://prod.danawa.com/info/?pcode=5468657&cate=11236855,NOCTUA,5468657,//img.danawa.com/prod_img/500000/657/468/img/5468657_1.jpg?shrink=330:*&_v=20230421161330,CPU 쿨러,0.0,0.0,,0,288,92,2,78.9,22.8,95.0,,125,,,,,2,,201709,
Thermalright Macho MAXX,100960.0,https://prod.danawa.com/info/?pcode=17153636&cate=11236855,Thermalright,17153636,//img.danawa.com/prod_img/500000/636/153/img/17153636_1.jpg?shrink=330:*&_v=20220530103747,CPU 쿨러,0.0,0.0,210,423,2,140,1,77.8,25.6,140.0,,158,,,,,2,2,202205,
SilverStone SST-PF240W-ARGB V2,119990.0,https://prod.danawa.com/info/?pcode=16523978&cate=11236855,SilverStone,16523978,//img.danawa.com/prod_img/500000/978/523/img/16523978_1.jpg?shrink=330:*&_v=20221004124133,CPU 쿨러,1.0,,,1831,7,120,2,94,35.6,,,,2.0,272,28,400,7,5,202203,
써멀테이크 TOUGHLIQUID Ultra 360,277144.0,https://prod.danawa.com/info/?pcode=15467549&cate=11236855,써멀테이크,15467549,//img.danawa.com/prod_img/500000/549/467/img/15467549_1.jpg?shrink=330:*&_v=20230404111204,CPU 쿨러,1.0,,,935,7,120,3,72.69,28.1,,,,3.0,395,27,400,195,6,202110,
DYNATRON K666,64800.0,https://prod.danawa.com/info/?pcode=6074902&cate=11236855,DYNATRON,6074902,//img.danawa.com/prod_img/500000/902/074/img/6074902_1.jpg?shrink=330:*&_v=20180420104211,CPU 쿨러,0.0,,,6,0,60,,26.4,,,,,,,,,2,,201804,
COOLERTEC CT-1150/1155/1156-Slim(AL),9310.0,https://prod.danawa.com/info/?pcode=2434395&cate=11236855,COOLERTEC,2434395,//img.danawa.com/prod_img/500000/395/434/img/2434395_1.jpg?shrink=330:*&_v=20220805170929,CPU 쿨러,0.0,3.0,,6,0,80,1,66.5,34,,,30,,,,,0,,201401,
CORSAIR AF120 SLIM WHITE (1PACK),35290.0,https://prod.danawa.com/info/?pcode=17658665&cate=11236855,CORSAIR,17658665,//img.danawa.com/prod_img/500000/665/658/img/17658665_1.jpg?shrink=330:*&_v=20221107155815,시스템 쿨러,,,,0,0,120,1,56.3,27.5,,,,,,,,2,3,202208,
ARCTIC P14 PWM PST ARGB WHITE,19370.0,https://prod.danawa.com/info/?pcode=19508417&cate=11236855,ARCTIC,19508417,//img.danawa.com/prod_img/500000/417/508/img/19508417_1.jpg?shrink=330:*&_v=20230324160423,시스템 쿨러,,,,0,0,140,1,68.9,,,,,,,,,1031,6,202303,
조이쿨 ITX39-4HEAT90,22400.0,https://prod.danawa.com/info/?pcode=17200886&cate=11236855,조이쿨,17200886,//img.danawa.com/prod_img/500000/886/200/img/17200886_1.jpg?shrink=330:*&_v=20230421153005,CPU 쿨러,0.0,3.0,90,7,0,92,1,,35,94.0,,39,,,,,2,,202206,
