,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,name,cpu,ram,gpu,dx,os,sto,spec_class
9098,9098,9098,9098,9098,9098,9098,SpellForce 3 Reforced,"Intel Core i7-4790, AMD FX-8350",8 GB RAM,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",Version 11,"Windows 7, 8, Windows 10 (64 bit)",15 GB available space,1
9099,9099,9099,9099,9099,9099,9099,SpellForce 3: Fallen God,"Intel Core i5-3570, AMD FX-6350",6 GB RAM,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",Version 11,"Windows 7, 8, Windows 10 (64 bit)",30 GB available space,0
9100,9100,9100,9100,9100,9100,9100,SpellForce 3: Fallen God,"Intel Core i7-4790, AMD FX-8350",8 GB RAM,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",Version 11,"Windows 7, 8, Windows 10 (64 bit)",30 GB available space,1
9101,9101,9101,9101,9101,9101,9101,SpellForce 3: Soul Harvest,"Intel Core i5 3570, AMD FX-6350",6 GB RAM,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",Version 11,"Windows 7, 8, Windows 10 (64 bit)",15 GB available space,0
9102,9102,9102,9102,9102,9102,9102,SpellForce 3: Soul Harvest,"Intel Core i7-4790, AMD FX-8350",8 GB RAM,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",Version 11,"Windows 7, 8, Windows 10 (64 bit)",15 GB available space,1
9103,9103,9103,9103,9103,9103,9103,SpellForce: Conquest of Eo,AMD Ryzen 3 1300X / Intel Core i5-4690K,8 GB RAM,GeForce RTX 2070 Super/ Radeon RX 5700 XT 4GB VRAM,Version 11,64bit OS - Windows 10/11,9 GB available space,0
9104,9104,9104,9104,9104,9104,9104,SpellForce: Conquest of Eo,AMD Ryzen 5 5600X / Intel Core i7-10700K,16 GB RAM,NVidia RTX 2070 Super 8GB VRAM,Version 12,64bit OS - Windows 10/11,9 GB available space,1
9105,9105,9105,9105,9105,9105,9105,Spellspire,1 Ghz,256 MB RAM,SM 2.0,Version 9.0a,Windows XP / Vista / 7 / 8 / 10,130 MB available space,0
9106,9106,9106,9106,9106,9106,9106,Spellstone,Core i5 or Core i7,2 GB RAM,GTX 400 Series or Better,Version 9.0c,Windows 7,500 MB available space,0
9107,9107,9107,9107,9107,9107,9107,Spellsworn,Dual core from Intel or AMD at 2.8 GHz,4 GB RAM,"nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600",Version 9.0c,Windows 7 (64bit),3 GB available space,0
9108,9108,9108,9108,9108,9108,9108,Spelunker Party!,Core i3 2.00GHz,2 GB RAM,GeForce GT240 (512MB),,(Windows 7),,0
9109,9109,9109,9109,9109,9109,9109,Spelunker Party!,Core i3 2.40GHz,4 GB RAM,GeForce GT730 (VRAM 1GB),,(Windows 7),,1
9110,9110,9110,9110,9110,9110,9110,Spelunky,Intel Core 2 Duo 2.8GHz or equivalent processor,2 GB RAM,3D graphics card,Version 9.0c,Windows XP / Vista / 7 / 8,200 MB available space,0
9111,9111,9111,9111,9111,9111,9111,Spelunky 2,Quad Core 2.6 GHz,4 GB RAM,NVIDIA GTX 750,Version 11,Windows 10 64-bit,600 MB available space,0
9112,9112,9112,9112,9112,9112,9112,Sphinx and the Cursed Mummy,Intel or AMD 1.5 GHz supporting SSE2 instructions,1 GB RAM,OpenGL 3.0 Core Profile compatible like GeForce 8600,,Windows XP / Vista / 7 / 8 / 10 32 or 64 bit,1 GB available space,0
9113,9113,9113,9113,9113,9113,9113,Sphinx and the Cursed Mummy,Intel or AMD 2 GHz supporting SSE2 instructions,2 GB RAM,OpenGL 3.0 Core Profile compatible like GeForce 8800,,Windows XP / Vista / 7 / 8 / 10 32 or 64 bit,2 GB available space,1
9114,9114,9114,9114,9114,9114,9114,Spider-Man,Pentium III 500MHz or Athlon processor,128MB RAM,3D hardware accelerator (32MB VRAM) with full transform and lighting,DirectX 8.1,Windows 98/Me/2000/XP,1.3GB of free uncompressed hard drive space (plus and additional 200MB for Windows swap files),0
9115,9115,9115,9115,9115,9115,9115,Spider-Man 2: The Game,Pentium or Athlon 600MHz Processor,128MB RAM,16MB DirectX compatible 3D Accelerated Video Card,,Windows 98/ME/2000/XP,827MB Hard Disk Space,0
9116,9116,9116,9116,9116,9116,9116,Spider-Man 3,Pentium® 4 2.8 GHz or Athlon™ XP 2800+ or higher processor,"1024 MB of RAM for Windows 2000/XP, 1536 MB of RAM for Windows
Vista™ ",100% DirectX® 9.0c-compliant AGP/PCIe 256 MB onboard memory hardware T&L-capable video card with Shader Model 3.0 support and the latest drivers* ,DirectX 9.0c,English version of Microsoft® Windows® 2000/XP/Vista,6 GB of uncompressed hard disk space (plus 600 MB for the Windows swap file),0
9117,9117,9117,9117,9117,9117,9117,Spider-Man: Friend or Foe,"Pentium 4/Athlon XP or better
1.6 GHz Processor",256 MB,"128 MB video card
NVIDIA GeForce FX 5200+
ATI Radeon 9500+",DirectX 9.0c (included),Windows XP/Vista,5.5 GB,0
9118,9118,9118,9118,9118,9118,9118,Spider-Man: Friend or Foe,"Pentium 4/Athlon XP or better
2 GHz",512 MB (1 GB for Vista),"128 MB video card 
NVIDIA GeForce 6800+ 
ATI Radeon X800+",DirectX 9.0c (included),Windows XP/Vista,5.5 GB,1
9119,9119,9119,9119,9119,9119,9119,Spider-Man: Homecoming - Virtual Reality Experience,Intel Core i5 or higher,8 GB RAM (Recommended: 16 GB RAM),NVIDIA GTX 970 or greater,,Windows 10 or higher,2100 MB available space,0
9120,9120,9120,9120,9120,9120,9120,Spider-Man: Shattered Dimensions,Intel® Core™2 Duo 2.6 GHz or AMD Athlon™ 64 X2 3800+ or better,1 GB of RAM (2GB recommended),"3D hardware accelerator card required - 100% DirectX® 9.0c-compliant 256 MB video card and drivers*
(GeForce® 7800 256 MB / Radeon™ X1800 256 MB)",DirectX® 9.0c (Included),Microsoft® Windows® XP with Service Pack 3 ,14 GB of uncompressed hard disk space,0
9121,9121,9121,9121,9121,9121,9121,Spider-Man: Web of Shadows,Pentium 4 @ 2.8 GHz/Athlon 2800+,1 GB XP / 1.5 GB Vista,256 MB (nVidia GeForce 7300 GT),DirectX: 9.0c,(XP),6.6 Gb min.,0
9122,9122,9122,9122,9122,9122,9122,Spikit,1.5Ghz or better,128 MB RAM,DirectX 9.0 Compatible,,Windows XP/Windows Vista/Windows 7/8/10,,0
9123,9123,9123,9123,9123,9123,9123,Spinch,Intel Core i3,2 GB RAM,(Any),,Windows 7 or higher,2 GB available space,0
9124,9124,9124,9124,9124,9124,9124,Spinch,Intel Core i7,4 GB RAM,(Any),,Windows 10,2 GB available space,1
9125,9125,9125,9125,9125,9125,9125,Spintires,Intel® Pentium Dual Core 2.0GHz or equivalent,2 GB RAM,NVIDIA GeForce 9600 GT or equivalent,Version 9.0c,"Windows XP, Windows Vista, Windows 7/8 or 10",1 GB available space,0
9126,9126,9126,9126,9126,9126,9126,Spintires,Intel® Core 2 Duo 2.5GHz or equivalent,4 GB RAM,NVIDIA GeForce GTX 470 or equivalent,Version 9.0c,"Windows XP, Windows Vista, Windows 7/8 or 10",1 GB available space,1
9127,9127,9127,9127,9127,9127,9127,Spiral Knights,1.3ghz processor ,512MB for Windows XP or 1GB for Windows Vista/7 ,"64MB Video Memory. GeForce 5 series, ATI Radeon 8500. Latest video driver.",,"Windows XP, Vista or 7 ",300MB ,0
9128,9128,9128,9128,9128,9128,9128,Spirit of the North,Intel Core i5-4460 or equivalent,8 GB RAM,NVIDIA GeForce GTX 960 or equivalent,Version 11,Windows 10 - 64Bit,4 GB available space,0
9129,9129,9129,9129,9129,9129,9129,Spirit Roots,Intel Core 2 Duo 2.4 GHz,2 GB RAM,Shader Model 3.0 support with 512MB Integrated Memory,Version 9.0c,Windows Vista 64-bit or later,1100 MB available space,0
9130,9130,9130,9130,9130,9130,9130,Spirit Roots,Intel i3 3.3GHz or better,4 GB RAM,Shader Model 3.0 support with 1024MB Integrated Memory,Version 9.0c,Windows 7 64-bit or later,1100 MB available space,1
9131,9131,9131,9131,9131,9131,9131,Spiritfarer,Dual Core 3.0 GHz Processor,4 GB RAM,DirectX 10-compatible graphics card with at least 1GB of video memory,Version 10,"Microsoft® Windows® 7 SP1, 64-bit",7 GB available space,0
9132,9132,9132,9132,9132,9132,9132,Spirits of Xanadu,2.4 GHz dual-core,2 GB RAM,Dedicated graphics card with 512MB of VRAM and shader model 3.0,Version 9.0c,Windows XP SP2 or later,1 GB available space,0
9133,9133,9133,9133,9133,9133,9133,Spirits of Xanadu,3 GHz dual-core or better,4 GB RAM,Dedicated graphics card with 512MB of VRAM and shader model 3.0,Version 9.0c,Windows XP SP2 or later,1 GB available space,1
9134,9134,9134,9134,9134,9134,9134,SpiritSphere DX,Intel Core 2 Duo or higher,1 GB RAM,3D graphics card,Version 9.0,Windows XP or higher,150 MB available space,0
9135,9135,9135,9135,9135,9135,9135,Splasher,AMD Athlon IIX2 250 equivalent or more,4 GB RAM,ATI Radeon HD 5700 Series equivalent or more,Version 9.0c,Windows 7+,1300 MB available space,0
9136,9136,9136,9136,9136,9136,9136,Splice,3.0GHz Pentium4 or 1.2 GHz Core2 Duo ,2GB Ram ,Shader Model 3 Compatible,,Windows XP SP3 or later ,250MB,0
9137,9137,9137,9137,9137,9137,9137,Split,Dual Core Intel or AMD,4 GB RAM,Any,Version 11,Windows 7 64bit or later,,0
9138,9138,9138,9138,9138,9138,9138,Split,Quad-Core Intel or AMD processor,8 GB RAM,4GB GDDR5,Version 11,Windows 7 64bit or later,,1
9139,9139,9139,9139,9139,9139,9139,Split (2022),AMD Phenom II X4 955 / Intel Core i5-750 or equivalent,4 GB RAM,Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870,Version 10,Windows 7 or later,8 GB available space,0
9140,9140,9140,9140,9140,9140,9140,Split (2022),AMD FX-6130 Six-Core / Intel Core i5-4440S 2.80GHz or equivalent,8 GB RAM,Nvidia GPU GeForce GTX 1050 Ti / AMD GPU Radeon R9 280X,Version 11,Windows 10 or later (64-bit),10 GB available space,1
9141,9141,9141,9141,9141,9141,9141,Split / Second,3.0 GHz Intel® Pentium® D processor (Windows® 7 / Vista®) / 2.6 GHz Intel® Pentium® D processor (Windows XP®) or 2.0 GHz AMD Athlon™ 64 X2 or equivalent processor,2.5 GB RAM (Windows® 7 / Vista®) / 2.0 GB RAM (Windows XP®),"256 MB DirectX® 9.0c-compatible, 3D video card supporting Shaders 3.0 (NVIDIA® GeForce® 7600 or better, ATI Radeon™ X1600 or better)",DirectX® 9.0c (included),Microsoft® Windows® 7 / Vista® SP2 / XP® SP3,6.5 GB uncompressed hard drive space,0
9142,9142,9142,9142,9142,9142,9142,Split / Second,3.0 GHz Intel® Core™2 Duo processor or 2.4 GHz AMD Athlon™ 64 X2 or equivalent processor,2.5 GB RAM (Windows® 7 / Vista®) / 2.0 GB RAM (Windows XP®),"512 MB DirectX® 9.0c-compatible, 3D video card supporting Shaders 3.0 (NVIDIA® GeForce® 8800GT or better, ATI Radeon™ HD3870 or better)",DirectX® 9.0c (included),Microsoft® Windows® 7 / Vista® SP2 / XP® SP3,6.5 GB uncompressed hard drive space,1
9143,9143,9143,9143,9143,9143,9143,Splitgate,Any dual core CPU,6 GB RAM,NVIDIA GeForce GTX 660 1GB,Version 11,"64-bit Windows 7, Windows 8.1, Windows 10",15 GB available space,0
9144,9144,9144,9144,9144,9144,9144,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,AMD / Intel CPU running at 2.8 GHz or higher (AMD Phenom II X4 925 or Intel i3-4130 or newer are recommended),4 GB RAM,"AMD/NVIDIA graphic card, with at least 2GB of dedicated VRAM and with at least DirectX 11 and Shader Model 5.1 support: AMD Radeon HD 7870 or NVIDIA GeForce GTX 760 or newer is recommended",Version 11,Windows 10 (64bit),8 GB available space,0
9145,9145,9145,9145,9145,9145,9145,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,AMD / Intel processor running at 3.5 GHz or higher (AMD FX-6300 series or Intel Core i3-8100 or newer is recommended),8 GB RAM,"AMD/NVIDIA dedicated graphic card, with at least 4GB of dedicated VRAM (or more) and with at least DirectX 11 and Shader Model 5.1 support: NVIDIA GeForce GTX 1050 Ti or AMD Radeon R9",Version 11,Windows 10 (64bit),8 GB available space,1
9146,9146,9146,9146,9146,9146,9146,SpongeBob SquarePants: The Cosmic Shake,AMD Phenom II X4 925 / Intel Pentium Dual Core G3320,4 GB RAM,GeForce GTX 660 / Radeon HD 7870,Version 11,"Windows 7/8.1/10/11, 64-bit",10 GB available space,0
9147,9147,9147,9147,9147,9147,9147,SpongeBob SquarePants: The Cosmic Shake,AMD FX 6300 / Intel Core i5-3570K,8 GB RAM,Radeon R9 380 / Nvidia GTX 1050 Ti,Version 11,"Windows 10/11, 64-bit",10 GB available space,1
9148,9148,9148,9148,9148,9148,9148,Spore,2.0 GHz P4 processor or equivalent (XP/Vista),"512 MB RAM (XP)
768 MB RAM (Vista)","A 128 MB Video Card*, with support for Pixel Shader 2.0",,,At least 6 GB of hard drive space ,0
