name,price,link,company,product_seq,image,code,socket,core_number,thread_number,l2_cache,l3_cache,tdp,pbpmtp,has_graphic,graphic_name,graphic_core_speed,memory_capacity,memory_type,memory_clock,memory_channel,pcie_channel_number,pcie_version,has_cooler,clock_basic,clock_max,nm,tech_support,bench_mark,reg_date,bookmark
인텔 코어2쿼드 Q8400,4390.0,https://prod.danawa.com/info/?pcode=4144483&cate=112747,인텔,4144483,//img.danawa.com/prod_img/500000/483/144/img/4144483_1.jpg?shrink=330:*&_v=20181115105415,요크필드,인텔(소켓775),4,4,4.0,,95.0,,0,,,,,1333.0,,,,0,2.66,,45.0,,2060,201606,
인텔 제온 스케일러블 골드 5218,3774000.0,https://prod.danawa.com/info/?pcode=9308658&cate=112747,인텔,9308658,//img.danawa.com/prod_img/500000/658/308/img/9308658_1.jpg?shrink=330:*&_v=20190820172320,캐스케이드레이크,인텔(소켓3647),16,32,,22.0,125.0,,0,,,1024.0,2.0,2667.0,6.0,48.0,4.0,0,2.3,3.9,14.0,,22022,201908,
인텔 코어i7-4세대 4770K,81760.0,https://prod.danawa.com/info/?pcode=6112678&cate=112747,인텔,6112678,//img.danawa.com/prod_img/500000/678/112/img/6112678_1.jpg?shrink=330:*&_v=20181106115739,하스웰,인텔(소켓1150),4,8,1.0,8.0,84.0,,1,인텔 HD 4600,1250.0,,8.0,,,16.0,,0,3.5,3.9,22.0,,7130,201306,
인텔 펜티엄 G620,1080.0,https://prod.danawa.com/info/?pcode=4504341&cate=112747,인텔,4504341,//img.danawa.com/prod_img/500000/341/504/img/4504341_1.jpg?shrink=330:*&_v=20200708150803,샌디브릿지,인텔(소켓1155),2,2,0.5,3.0,65.0,,1,인텔 HD,1100.0,,8.0,,,16.0,,0,2.6,,32.0,,1217,201609,
인텔 셀러론 G540,1600.0,https://prod.danawa.com/info/?pcode=1704946&cate=112747,인텔,1704946,//img.danawa.com/prod_img/500000/946/704/img/1704946_1.jpg?shrink=330:*&_v=20200708145805,샌디브릿지,인텔(소켓1155),2,2,0.5,2.0,65.0,,1,인텔 HD,1000.0,,8.0,,,16.0,,0,2.5,,32.0,,1172,201206,
인텔 제온 스케일러블 실버 4116,2889490.0,https://prod.danawa.com/info/?pcode=5449199&cate=112747,인텔,5449199,//img.danawa.com/prod_img/500000/199/449/img/5449199_1.jpg?shrink=330:*&_v=20170901100208,스카이레이크,인텔(소켓3647),12,24,,16.5,85.0,,0,,,,2.0,2400.0,,48.0,,0,2.1,3.0,14.0,,15146,201709,
인텔 셀러론 G5900,43790.0,https://prod.danawa.com/info/?pcode=15218675&cate=112747,인텔,15218675,//img.danawa.com/prod_img/500000/675/218/img/15218675_1.jpg?shrink=330:*&_v=20210910085624,코멧레이크S,인텔(소켓1200),2,2,,2.0,58.0,,1,인텔 UHD 610,1050.0,128.0,2.0,2666.0,2.0,16.0,4.0,0,3.4,,14.0,,2696,202005,
인텔 코어2쿼드 Q9500,8790.0,https://prod.danawa.com/info/?pcode=4485420&cate=112747,인텔,4485420,//img.danawa.com/prod_img/500000/420/485/img/4485420_1.jpg?shrink=330:*&_v=20181115105702,요크필드,인텔(소켓775),4,4,6.0,,95.0,,0,,,,,1333.0,,,,0,2.83,,45.0,,2208,201003,
인텔 코어i3-1세대 540,3006.0,https://prod.danawa.com/info/?pcode=4148188&cate=112747,인텔,4148188,//img.danawa.com/prod_img/500000/188/148/img/4148188_1.jpg?shrink=330:*&_v=20181115120825,클락데일,인텔(소켓1156),2,4,0.5,4.0,73.0,,1,인텔 HD,733.0,,8.0,,,16.0,,0,3.06,,32.0,,1529,201606,
인텔 코어i3-1세대 550,2150.0,https://prod.danawa.com/info/?pcode=4146391&cate=112747,인텔,4146391,//img.danawa.com/prod_img/500000/391/146/img/4146391_1.jpg?shrink=330:*&_v=20181115120850,클락데일,인텔(소켓1156),2,4,0.5,4.0,73.0,,1,인텔 HD,733.0,,8.0,,,16.0,,0,3.2,,32.0,,1608,201606,
