name,price,link,company,product_seq,image,category,size,power_included,power_support,board_support,bay_133,bay_89,bay_64,pci_horizontal,pci_vertical,cooling_fan,led_fan,front_type,side_open,side_type,back_vent,front_vent,top_vent,bottom_vent,external_port,width,height,depth,gpu_size,cpu_cooler_size,power_size,liquid_cooler,radiator_top,radiator_front,radiator_rear,radiator_side,feature,led_color,reg_date,bookmark
라이트컴 COMS Express PCI 연장 아답터 (ITA520),8740.0,https://prod.danawa.com/info/?pcode=3647413&cate=112775,라이트컴 COMS,3647413,//img.danawa.com/prod_img/500000/413/647/img/3647413_1.jpg?shrink=330:*&_v=20200123100912,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,201512,
투렉스 DIY SPRINGBER,52900.0,https://prod.danawa.com/info/?pcode=2019654&cate=112775,투렉스,2019654,//img.danawa.com/prod_img/500000/654/019/img/2019654_1.jpg?shrink=330:*&_v=20130429165330,,데스크탑,,표준-ATX,38,1,3,4,7.0,,,,,,,,,,,0,221.0,280.0,326.0,,,,,,,,,0,,201304,
투렉스 RIMA K1 ATX COVER,47500.0,https://prod.danawa.com/info/?pcode=16772816&cate=112775,투렉스,16772816,//img.danawa.com/prod_img/500000/816/772/img/16772816_1.jpg?shrink=330:*&_v=20230313100237,,,,표준-ATX,2,,4,,,,,,,,,,,,,0,340.0,375.0,205.0,,135.0,,,,,,,0,,202204,
ASUS TUF Gaming GT301 (해외구매),145800.0,https://prod.danawa.com/info/?pcode=16386209&cate=112775,ASUS,16386209,//img.danawa.com/prod_img/500000/209/386/img/16386209_1.jpg?shrink=330:*&_v=20220214110109,PC케이스(ATX),미들타워,파워미포함,,38,,2,4,7.0,,4.0,3,,,,120mm x1,120mm LED x3,,,2,214.0,482.0,426.0,320.0,160.0,,3.0,,360.0,120.0,,0,RGB,202006,
투렉스 DOMA F1 AIR,38500.0,https://prod.danawa.com/info/?pcode=16124057&cate=112775,투렉스,16124057,//img.danawa.com/prod_img/500000/057/124/img/16124057_1.jpg?shrink=330:*&_v=20230313100226,,,,표준-ATX,22,,3,,7.0,,,,,,,,,,,0,283.0,225.0,470.0,,,,,,,,,0,,202201,
DAVEN FT908 MESH 강화유리 (블랙),100000.0,https://prod.danawa.com/info/?pcode=10523616&cate=112775,DAVEN,10523616,//img.danawa.com/prod_img/500000/616/523/img/10523616_1.jpg?shrink=330:*&_v=20210317153847,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,3,4,7.0,,4.0,4,,,강화유리,120mm LED x1,120mm LED x3,,,3,208.0,452.0,418.0,360.0,160.0,210.0,2.0,240.0,240.0,120.0,,0,RGB,202002,
DAMONCOM DM-8 LP,,https://prod.danawa.com/info/?pcode=7838551&cate=112775,DAMONCOM,7838551,//img.danawa.com/prod_img/500000/551/838/img/7838551_1.jpg?shrink=330:*&_v=20190502103901,PC케이스(M-ATX),슬림(LP),파워미포함,TFX,20,1,1,2,4.0,,,,,,통풍구,,,,,3,95.0,335.0,433.0,210.0,,,,,,,,0,,201905,
SilverStone SST-PS15-G (Black),,https://prod.danawa.com/info/?pcode=7083517&cate=112775,SilverStone,7083517,//img.danawa.com/prod_img/500000/517/083/img/7083517_1.jpg?shrink=330:*&_v=20200109165253,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,4,,1,3,4.0,,1.0,,,,강화유리,120mm x1,,,,2,192.0,381.0,351.0,314.0,154.0,150.0,2.0,,240.0,120.0,,0,블루,201901,
리안리 Alpha330 Strimer RGB 패키지,169000.0,https://prod.danawa.com/info/?pcode=8134204&cate=112775,리안리,8134204,//img.danawa.com/prod_img/500000/204/134/img/8134204_1.jpg?shrink=330:*&_v=20190612133139,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,4,5,10.0,,1.0,,,,강화유리,120mm,,,,10,230.0,517.0,495.0,430.0,170.0,250.0,3.0,360.0,420.0,120.0,,0,,201906,
ORBIS S210 메쉬 강화유리 (블랙),,https://prod.danawa.com/info/?pcode=14227265&cate=112775,ORBIS,14227265,//img.danawa.com/prod_img/500000/265/227/img/14227265_1.jpg?shrink=330:*&_v=20210520112228,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,2,7.0,,6.0,4,,,강화유리,120mm LED x1,120mm LED x3,120mm x2,,3,200.0,457.0,375.0,300.0,160.0,215.0,3.0,240.0,360.0,,,0,RGB,202105,
COUGAR BLAZER ESSENCE,268000.0,https://prod.danawa.com/info/?pcode=11710916&cate=112775,COUGAR,11710916,//img.danawa.com/prod_img/500000/916/710/img/11710916_1.jpg?shrink=330:*&_v=20210525134459,,미들타워,,표준-ATX,38,,2,2,7.0,,,,,,강화유리,,,,,2,236.0,472.0,528.0,310.0,170.0,140.0,,240.0,,,,0,,202007,
리안리 PC-O5SW 화이트 Mirror Painting Ver.,497000.0,https://prod.danawa.com/info/?pcode=4322576&cate=112775,리안리,4322576,//img.danawa.com/prod_img/500000/576/322/img/4322576_1.jpg?shrink=330:*&_v=20170328110815,미니ITX,미니ITX(리틀밸리),파워미포함,M-ATX(SFX),0,1,6,6,4.0,,,,,,,,,,,0,148.0,465.0,384.0,300.0,85.0,,,,,,,0,,201608,
라이트컴 COMS PCI Express 1x 연장 케이블 (BS759),8490.0,https://prod.danawa.com/info/?pcode=2677966&cate=112775,라이트컴 COMS,2677966,//img.danawa.com/prod_img/500000/966/677/img/2677966_1.jpg?shrink=330:*&_v=20181220143848,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,201406,
2MONS 4U D650 HD-28,150000.0,https://prod.danawa.com/info/?pcode=14920439&cate=112775,2MONS,14920439,//img.danawa.com/prod_img/500000/439/920/img/14920439_1.jpg?shrink=330:*&_v=20210812123711,랙마운트,랙마운트(4U),파워미포함,표준-ATX,0,,28,2,7.0,,6.0,,,,,,120mm x3,,,1,430.0,178.0,650.0,320.0,150.0,,,,,,,0,,202108,
투렉스 변환브라켓 POWER,4800.0,https://prod.danawa.com/info/?pcode=2552067&cate=112775,투렉스,2552067,//img.danawa.com/prod_img/500000/067/552/img/2552067_1.jpg?shrink=330:*&_v=20140408111852,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,201404,
주연테크 CG2 LIONINE TURBO,64900.0,https://prod.danawa.com/info/?pcode=17892632&cate=112775,주연테크,17892632,//img.danawa.com/prod_img/500000/632/892/img/17892632_1.jpg?shrink=330:*&_v=20220922154310,PC케이스(ATX),미들타워,파워미포함,표준-ATX,39,,2,2,7.0,,4.0,4,메쉬,스윙도어,강화유리,120mm LED x1,120mm LED x3,,,3,210.0,461.0,436.0,340.0,170.0,,2.0,240.0,280.0,120.0,,0,RGB,202209,
PNC PARTNER  EVEREST 라이저 PCI-E 1x USB 홀더 (60개),25000.0,https://prod.danawa.com/info/?pcode=17037362&cate=112775,PNC PARTNER,17037362,//img.danawa.com/prod_img/500000/362/037/img/17037362_1.jpg?shrink=330:*&_v=20220512155333,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,202205,
투렉스 COIN MASTER 8WAY WIDE 770,46500.0,https://prod.danawa.com/info/?pcode=15947306&cate=112775,투렉스,15947306,//img.danawa.com/prod_img/500000/306/947/img/15947306_1.jpg?shrink=330:*&_v=20211215155547,,,,표준-ATX,22,,2,,,,,,,,,,,,,0,770.0,325.0,220.0,,,,,,,,,0,,202112,
COUGAR MX660 Mesh,120000.0,https://prod.danawa.com/info/?pcode=13847345&cate=112775,COUGAR,13847345,//img.danawa.com/prod_img/500000/345/847/img/13847345_1.jpg?shrink=330:*&_v=20210408161136,PC케이스(ATX),미들타워,파워미포함,표준-ATX,103,,2,5,9.0,,1.0,,,,강화유리,120mm x1,,,,3,213.0,495.0,474.0,410.0,165.0,200.0,3.0,360.0,360.0,120.0,,0,,202104,
거인전자 HELLO-Q 사랑시리즈,13900.0,https://prod.danawa.com/info/?pcode=1609818&cate=112775,거인전자,1609818,//img.danawa.com/prod_img/500000/818/609/img/1609818_1.jpg?shrink=330:*&_v=20120321114614,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,201202,
투렉스 COIN MASTER 8WAY 670,36000.0,https://prod.danawa.com/info/?pcode=15947234&cate=112775,투렉스,15947234,//img.danawa.com/prod_img/500000/234/947/img/15947234_1.jpg?shrink=330:*&_v=20211215155351,,,,표준-ATX,22,,2,,,,,,,,,,,,,0,670.0,325.0,220.0,,,,,,,,,0,,202112,
선경씨앤씨 RPC-450 4U 랙마운트,99790.0,https://prod.danawa.com/info/?pcode=15676505&cate=112775,선경씨앤씨,15676505,//img.danawa.com/prod_img/500000/505/676/img/15676505_1.jpg?shrink=330:*&_v=20211112133234,랙마운트,랙마운트(4U),파워미포함,표준-ATX,0,2,9,,7.0,,2.0,,,,,,,80mm x2,,1,426.0,179.0,503.0,300.0,150.0,,,,,,,0,,202111,
엠스톤글로벌 mStone PCIE 4.0 라이저 케이블 (300mm),,https://prod.danawa.com/info/?pcode=14673179&cate=112775,엠스톤글로벌,14673179,//img.danawa.com/prod_img/500000/179/673/img/14673179_1.jpg?shrink=330:*&_v=20220613160015,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,202107,
SilverStone FARA SST-FAR1W-PRO STCOM,,https://prod.danawa.com/info/?pcode=14237423&cate=112775,SilverStone,14237423,//img.danawa.com/prod_img/500000/423/237/img/14237423_1.jpg?shrink=330:*&_v=20210608111338,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,1,4,7.0,,4.0,4,,,강화유리,120mm LED x1,120mm LED x3,,,3,207.0,446.0,390.0,322.0,165.0,160.0,2.0,240.0,280.0,120.0,,0,ARGB,202105,
CORSAIR CRYSTAL SERIES 570X RGB (화이트),240000.0,https://prod.danawa.com/info/?pcode=5530865&cate=112775,CORSAIR CRYSTAL SERIES,5530865,//img.danawa.com/prod_img/500000/865/530/img/5530865_1.jpg?shrink=330:*&_v=20190919170424,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,2,7.0,,3.0,,,,강화유리,,120mm LED x 3,,,2,234.0,512.0,480.0,370.0,170.0,225.0,3.0,240.0,360.0,120.0,,0,,201701,
