program_id,cpu_id,gpu_id,ram,dx,storage,os,spec_class
107,400,558.0,0.125,DirectX: 8.1 or later,0.057,Windows 98/ME/2000/XP/Vista,0
108,400,1153.0,0.25,DirectX 9,1.5,Windows® 2000/XP,0
109,400,1173.0,0.5,DirectX 9.0c November 2007 release ,0.4,Windows XP sp2 or Vista ,0
109,400,1127.0,1.0,DirectX 9.0c November 2007 release ,0.4,Windows XP sp2 or Vista ,1
110,400,123.0,1,,32,Windows Vista/XP,0
110,400,1106.0,2,,32,Windows Vista/XP,1
111,180,1079.0,8,,5,"Windows 8.1, 64-bit",0
111,273,1098.0,8,,5,"Windows 10, 64-bit",1
112,375,,0.5,,0.2,Microsoft Windows XP SP3 (32-bit) and newer,0
113,401,1103.0,2.5,,2.5,Win XP/Vista/7,0
114,400,1103.0,0.015625,,8.05,Microsoft Windows 95 operating system or Windows NT Workstation 4.0 with Service Pack 3,0
115,400,598.0,0.03125,,0.2,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,0
116,400,598.0,0.03125,,0.2,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,0
117,400,598.0,0.03125,,0.08,Microsoft® Windows® 95/98/Me/XP/NT 4.0 with service pack 5,0
118,400,1153.0,1,9.0c,2,"Windows Vista, 7, 8 Pro+",0
119,425,1106.0,4,Version 11,30,Windows 10 64bit,0
119,423,1068.0,8,Version 11,30,Windows 10 64bit,1
120,400,1127.0,2,DirectX 9.0c,12,Windows XP,0
121,400,1173.0,0.25,DirectX 9.0 or later,2,Microsoft® Windows® XP or higher,0
122,400,1173.0,0.25,DirectX 9.0 or later,2,Microsoft® Windows® XP or higher,0
123,363,1106.0,8,Version 11,42,"Windows 10 version 18362.0 or higher, 64-bit",0
123,226,1098.0,16,Version 11,42,"Windows 10 version 18362.0 or higher, 64-bit",1
124,160,421.0,8,Version 12,50,Windows 10 64bit | Windows 11 64bit,0
124,120,234.0,16,Version 12,50,Windows 10 64bit | Windows 11 64bit,1
125,400,1106.0,4,Version 11,20,Windows 10 64-bit,0
125,423,421.0,16,Version 11,20,Windows 10 64-bit,1
126,400,1153.0,1,,,Windows XP/Vista/7/8/10,0
