name,price,link,company,product_seq,image,category,size,power_included,power_support,board_support,bay_133,bay_89,bay_64,pci_horizontal,pci_vertical,cooling_fan,led_fan,front_type,side_open,side_type,back_vent,front_vent,top_vent,bottom_vent,external_port,width,height,depth,gpu_size,cpu_cooler_size,power_size,liquid_cooler,radiator_top,radiator_front,radiator_rear,radiator_side,feature,led_color,reg_date,bookmark
앱코 G21M 니트,50925,https://prod.danawa.com/info/?pcode=27762230&cate=112775,앱코,27762230,//img.danawa.com/prod_img/500000/230/762/img/27762230_1.jpg?shrink=330:*&_v=20230824145427,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,36,,2,2,4.0,,3,3,,스윙도어,강화유리,120mm LED x1,140mm LED x2,,,3,200,425,370,325,157,140~200,2,140.0,280.0,120.0,,0,,202308,
잘만 i4 (블랙),54570,https://prod.danawa.com/info/?pcode=21496067&cate=112775,잘만,21496067,//img.danawa.com/prod_img/500000/067/496/img/21496067_1.jpg?shrink=330:*&_v=20230725105901,PC케이스(ATX),미들타워,,,38,,2,2,7.0,2,6,,,,통풍구,120mm x1,120mm x3,120mm x2,,3,225,484,396,320,170,160,3,280.0,360.0,140.0,,0,,202307,
3RSYS R120 (블랙),26290,https://prod.danawa.com/info/?pcode=28025648&cate=112775,3RSYS,28025648,//img.danawa.com/prod_img/500000/648/025/img/28025648_1.jpg?shrink=330:*&_v=20230905135748,PC케이스(M-ATX),미니타워,파워미포함,,20,,2,2,4.0,,1,,,스윙도어,강화유리,120mm x1,,,,3,200,426,340,320,160,180,2,240.0,,,,0,,202309,
3RSYS R30 (블랙),18700,https://prod.danawa.com/info/?pcode=28025804&cate=112775,3RSYS,28025804,//img.danawa.com/prod_img/500000/804/025/img/28025804_1.jpg?shrink=330:*&_v=20230905140515,PC케이스(M-ATX),미니타워,,,20,,2,,4.0,,1,,일반(솔리드),,강철,80mm x1,,,,3,163,354,260,250,140,170,,,,,,0,,202309,
마이크로닉스 GX2-뉴런 메쉬,111600,https://prod.danawa.com/info/?pcode=17407550&cate=112775,마이크로닉스,17407550,//img.danawa.com/prod_img/500000/550/407/img/17407550_1.jpg?shrink=330:*&_v=20221006140005,PC케이스(ATX),미들타워,파워미포함,표준-ATX,7,,10,4,8.0,,6,4,메쉬,,강화유리,120mm LED x1,120mm LED x3,,,11,239,515,475,395,165,190~350,3,360.0,360.0,120.0,240.0,0,LED 색상,202207,
마이크로닉스 EH1-몬드리안 (화이트),129000,https://prod.danawa.com/info/?pcode=19672418&cate=112775,마이크로닉스,19672418,//img.danawa.com/prod_img/500000/418/672/img/19672418_1.jpg?shrink=330:*&_v=20230412090839,PC케이스(ATX),미들타워,파워미포함,표준-ATX,23,,2,2,7.0,,4,1,강화유리,,강화유리,140mm LED x1,140mm x3,,,7,235,506,468,285~435,180,210~260,3,360.0,360.0,,240.0,0,LED 색상,202304,
1stPlayer T5 (WHITE),57000,https://prod.danawa.com/info/?pcode=19105643&cate=112775,1stPlayer,19105643,//img.danawa.com/prod_img/500000/643/105/img/19105643_1.jpg?shrink=330:*&_v=20230530123300,PC케이스(M-ATX),미니타워,,,36,,2,2,4.0,,4,4,,,강화유리,120mm LED x1,120mm LED x3,,,3,210,422,377,330,165,160,3,240.0,360.0,,,0,LED 색상,202302,
잘만 P30 (White),94160,https://prod.danawa.com/info/?pcode=27678284&cate=112775,잘만,27678284,//img.danawa.com/prod_img/500000/284/678/img/27678284_1.jpg?shrink=330:*&_v=20230907125028,PC케이스(M-ATX),미니타워,파워미포함,,36,,2,1,5.0,,3,3,강화유리,,강화유리,120mm LED x1,,,,6,235,429,453,420,173,200,3,360.0,,140.0,,0,LED 색상,202308,
GAMDIAS NESO P1 (블랙화이트),249000,https://prod.danawa.com/info/?pcode=25220138&cate=112775,GAMDIAS,25220138,//img.danawa.com/prod_img/500000/138/220/img/25220138_1.jpg?shrink=330:*&_v=20230907140339,PC케이스(ATX),빅타워,파워미포함,,23,,2,3,,,,,강화유리,스윙도어,강화유리,,,,,10,310,495,490,426,193,180,,360.0,,120.0,420.0,0,,202308,
아이구주 VENTI C60,45700,https://prod.danawa.com/info/?pcode=13517816&cate=112775,아이구주,13517816,//img.danawa.com/prod_img/500000/816/517/img/13517816_1.jpg?shrink=330:*&_v=20210309143727,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,2,2,7.0,,6,6,,스윙도어,강화유리,120mm LED x1,140mm LED x3,120mm LED x2,,3,210,467,375,320,163,195,3,280.0,360.0,120.0,,0,,202103,
