name,price,link,company,product_seq,image,chipset_company,chipset,nm,base_clock,boost_clock,cuda_processor,stream_processor,interface,memory_type,memory_capacity,memory_clock,memory_bus,port,monitor_support,additional_function,usage_power,recommend_power,cooling_type,pan_number,length,thickness,pin,feature,as_years,bench_mark,reg_date,bookmark
FORSA 지포스 GTX1050 Ti D5 4GB DUAL,203870.0,https://prod.danawa.com/info/?pcode=5385778&cate=112753,FORSA,5385778,//img.danawa.com/prod_img/500000/778/385/img/5385778_1.jpg?shrink=330:*&_v=20221107154858,NVIDIA,GTX1050 Ti,14,1291,1392.0,768.0,,PCIe3.0x16,GDDR5(DDR5),,7008.0,128.0,1028,3.0,256,75.0,300.0,9,2.0,210.0,39,100000,0,,,201708,
AFOX 지포스 RTX 3080 D6X 10GB 대원씨티에스,802000.0,https://prod.danawa.com/info/?pcode=21539150&cate=112753,AFOX,21539150,//img.danawa.com/prod_img/500000/150/539/img/21539150_1.jpg?shrink=330:*&_v=20230801125429,NVIDIA,RTX 3080,,1440,1710.0,,,PCIe4.0,GDDR6X(DDR6X),,19000.0,320.0,4,4.0,280,350.0,,9,3.0,330.0,50,0,1,3.0,,202307,
PALIT 지포스 RTX 3060 Ti Dual D6 8GB LHR,1080000.0,https://prod.danawa.com/info/?pcode=14804777&cate=112753,PALIT,14804777,//img.danawa.com/prod_img/500000/777/804/img/14804777_1.jpg?shrink=330:*&_v=20210721162257,NVIDIA,RTX 3060 Ti,8,1410,1665.0,4864.0,,PCIe4.0x16,GDDR6(DDR6),,14000.0,256.0,4,4.0,185,200.0,550.0,11,2.0,247.0,40,10000,7,3.0,,202107,
이엠텍 지포스 RTX 3070 D6 8GB (무상보증표기 중고),384570.0,https://prod.danawa.com/info/?pcode=20035979&cate=112753,이엠텍,20035979,//img.danawa.com/prod_img/500000/979/035/img/20035979_1.jpg?shrink=330:*&_v=20230504151649,NVIDIA,해당없음,,,,,,PCIe4.0x16,GDDR6(DDR6),,14000.0,256.0,0,,0,,,0,,,,0,0,,,202010,
라데온 RX 6700 XT D6 12GB (중고),328000.0,https://prod.danawa.com/info/?pcode=17254454&cate=112753,,17254454,//img.danawa.com/prod_img/500000/454/254/img/17254454_1.jpg?shrink=330:*&_v=20220615101303,AMD(ATi),해당없음,,,,,,PCIe4.0x16,GDDR6(DDR6),,16000.0,192.0,0,,0,,,0,,,,0,0,,,202206,
라데온 RX 580 D5 4GB (중고),84990.0,https://prod.danawa.com/info/?pcode=6632827&cate=112753,,6632827,//img.danawa.com/prod_img/500000/827/632/img/6632827_1.jpg?shrink=330:*&_v=20181115114101,AMD(ATi),해당없음,,,,,,PCIe3.0x16,GDDR5(DDR5),,,256.0,0,,0,,,0,,,,0,0,,,201811,
NVIDIA 쿼드로 Sync II,1380000.0,https://prod.danawa.com/info/?pcode=12820505&cate=112753,NVIDIA,12820505,//img.danawa.com/prod_img/500000/505/820/img/12820505_1.jpg?shrink=330:*&_v=20220125143507,,해당없음,,,,,,,,,,,0,,0,,,0,,,,0,0,,,202012,
NVIDIA 지포스 RTX 4090 Founders Edition D6X 24GB (병행수입),3390500.0,https://prod.danawa.com/info/?pcode=18017717&cate=112753,NVIDIA,18017717,//img.danawa.com/prod_img/500000/717/017/img/18017717_1.jpg?shrink=330:*&_v=20221018095554,NVIDIA,해당없음,,2230,2520.0,,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,384.0,0,4.0,184,450.0,850.0,11,2.0,304.0,61,0,1,,,202210,
지포스 RTX 3070 Ti D6X 8GB (중고),445990.0,https://prod.danawa.com/info/?pcode=16512887&cate=112753,,16512887,//img.danawa.com/prod_img/500000/887/512/img/16512887_1.jpg?shrink=330:*&_v=20220302175606,NVIDIA,해당없음,,,,,,PCIe4.0x16,GDDR6X(DDR6X),,19000.0,256.0,0,,0,,,0,,,,0,0,,,202203,
지포스 RTX 2080 SUPER D6 8GB (중고),315000.0,https://prod.danawa.com/info/?pcode=11979344&cate=112753,,11979344,//img.danawa.com/prod_img/500000/344/979/img/11979344_1.jpg?shrink=330:*&_v=20200805144808,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR6(DDR6),,,256.0,0,,0,,,0,,,,0,0,,,202008,
엠탑코리아 지포스 GTX950 NEW D5 2GB 듀얼쿨러,173680.0,https://prod.danawa.com/info/?pcode=6419904&cate=112753,엠탑코리아,6419904,//img.danawa.com/prod_img/500000/904/419/img/6419904_1.jpg?shrink=330:*&_v=20211122180857,NVIDIA,GTX950,28,1114,1304.0,768.0,,PCIe3.0x16,GDDR5(DDR5),,6612.0,128.0,1028,3.0,0,90.0,350.0,9,2.0,220.0,40,100000,0,,,201808,
Razer Core X Mercury (해외구매),571760.0,https://prod.danawa.com/info/?pcode=12926156&cate=112753,Razer,12926156,//img.danawa.com/prod_img/500000/156/926/img/12926156_1.jpg?shrink=330:*&_v=20201216095716,,해당없음,,,,,,,,,,,24576,,0,,,0,,374.0,230,0,0,,,202012,
라데온 RX 570 D5 8GB (중고),85000.0,https://prod.danawa.com/info/?pcode=6643693&cate=112753,,6643693,//img.danawa.com/prod_img/500000/693/643/img/6643693_1.jpg?shrink=330:*&_v=20181116133152,AMD(ATi),해당없음,,,,,,PCIe3.0x16,GDDR5(DDR5),,,256.0,0,,0,,,0,,,,0,0,,,201811,
GIGABYTE 라데온 RX 7800 XT Gaming OC D6 16GB 제이씨현,775750.0,https://prod.danawa.com/info/?pcode=28183919&cate=112753,GIGABYTE,28183919,//img.danawa.com/prod_img/500000/919/183/img/28183919_1.jpg?shrink=330:*&_v=20230912101215,AMD(ATi),RX 7800 XT,5,,2565.0,,3840,PCIe4.0x16,GDDR6(DDR6),,19500.0,256.0,4,4.0,345,,700.0,11,3.0,302.0,56,20000,5,3.0,,202309,
GIGABYTE 지포스 GTX 1660 SUPER Gaming D6 6GB 제이씨현,679750.0,https://prod.danawa.com/info/?pcode=10702623&cate=112753,GIGABYTE,10702623,//img.danawa.com/prod_img/500000/623/702/img/10702623_1.jpg?shrink=330:*&_v=20220218124721,NVIDIA,GTX 1660 SUPER,12,,1785.0,1408.0,,PCIe3.0x16,GDDR6(DDR6),,14000.0,192.0,4,4.0,304,,450.0,11,3.0,280.0,41,10000,5,,,202003,
NVIDIA 쿼드로 RTX NV링크 HB 브릿지 3-Slot,125580.0,https://prod.danawa.com/info/?pcode=12820100&cate=112753,NVIDIA,12820100,//img.danawa.com/prod_img/500000/100/820/img/12820100_1.jpg?shrink=330:*&_v=20201202163832,,해당없음,,,,,,,,,,,0,,0,,,0,,,,0,0,,,202006,
이도디스플레이 지포스 RTX 3060 Ti RAGE-X D6 8GB LHR,493990.0,https://prod.danawa.com/info/?pcode=17575712&cate=112753,이도디스플레이,17575712,//img.danawa.com/prod_img/500000/712/575/img/17575712_1.jpg?shrink=330:*&_v=20220801161857,NVIDIA,RTX 3060 Ti,8,1410,1665.0,4864.0,,PCIe4.0,GDDR6(DDR6),,14000.0,256.0,4,4.0,184,,600.0,11,2.0,249.0,41,10000,1,3.0,,202208,
INNO3D 지포스 RTX 3060 Ti OC D6 8GB TWIN X2 LHR,792650.0,https://prod.danawa.com/info/?pcode=14575871&cate=112753,INNO3D,14575871,//img.danawa.com/prod_img/500000/871/575/img/14575871_1.jpg?shrink=330:*&_v=20230202081355,NVIDIA,RTX 3060 Ti,8,,1680.0,4864.0,,PCIe4.0x16,GDDR6(DDR6),,14000.0,256.0,4,4.0,185,200.0,650.0,11,2.0,240.0,45,10000,3,3.0,,202106,
GIGABYTE XTREME VR 링크패널,35780.0,https://prod.danawa.com/info/?pcode=4789720&cate=112753,GIGABYTE,4789720,//img.danawa.com/prod_img/500000/720/789/img/4789720_1.jpg?shrink=330:*&_v=20161227140526,,해당없음,,,,,,,,,,,0,,0,,,0,,,,0,0,,,201612,
NVIDIA NV링크 브릿지 2-Slot,232960.0,https://prod.danawa.com/info/?pcode=14274734&cate=112753,NVIDIA,14274734,//img.danawa.com/prod_img/500000/734/274/img/14274734_1.jpg?shrink=330:*&_v=20210706113052,,해당없음,,,,,,,,,,,0,,0,,,0,,,,0,0,,,202105,
AFOX 지포스 RTX 3080 Ti D6X 12GB 대원씨티에스,1200610.0,https://prod.danawa.com/info/?pcode=21538871&cate=112753,AFOX,21538871,//img.danawa.com/prod_img/500000/871/538/img/21538871_1.jpg?shrink=330:*&_v=20230801125319,NVIDIA,RTX 3080 Ti,,1365,1665.0,,,PCIe4.0,GDDR6X(DDR6X),,19000.0,384.0,4,4.0,280,350.0,,9,3.0,315.0,52,0,1,3.0,,202307,
NVIDIA 쿼드로 RTX 4000 D6 8GB,1430730.0,https://prod.danawa.com/info/?pcode=7358839&cate=112753,NVIDIA,7358839,//img.danawa.com/prod_img/500000/839/358/img/7358839_1.jpg?shrink=330:*&_v=20210908100710,NVIDIA,RTX 4000,12,,,2304.0,,PCIe3.0x16,GDDR6(DDR6),,,256.0,0,,18,160.0,,0,1.0,241.0,20,10000,0,,,201902,
ASUS TUF Gaming 지포스 GTX 1660 Ti O6G EVO OC D6 6GB,312000.0,https://prod.danawa.com/info/?pcode=15108326&cate=112753,ASUS,15108326,//img.danawa.com/prod_img/500000/326/108/img/15108326_1.jpg?shrink=330:*&_v=20210827145207,NVIDIA,GTX 1660 Ti,12,,1845.0,1536.0,,PCIe3.0x16,GDDR6(DDR6),,12000.0,192.0,1028,4.0,312,,450.0,11,2.0,206.0,46,10000,1,,,202108,
지포스 GTX 1660 D5 6GB (중고),129000.0,https://prod.danawa.com/info/?pcode=11976056&cate=112753,,11976056,//img.danawa.com/prod_img/500000/056/976/img/11976056_1.jpg?shrink=330:*&_v=20200805123239,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR5(DDR5),,,192.0,0,,0,,,0,,,,0,0,,,202008,
NVIDIA 쿼드로 RTX 6000 D6 24GB,5445000.0,https://prod.danawa.com/info/?pcode=6839308&cate=112753,NVIDIA,6839308,//img.danawa.com/prod_img/500000/308/839/img/6839308_1.jpg?shrink=330:*&_v=20210908100434,NVIDIA,RTX 6000,,,,4608.0,,PCIe3.0x16,GDDR6(DDR6),,,384.0,0,,18,295.0,,0,1.0,267.0,40,110000,0,,,201812,
PALIT 지포스 RTX 4090 GAMEROCK OC D6X 24GB,2658420.0,https://prod.danawa.com/info/?pcode=18203741&cate=112753,PALIT,18203741,//img.danawa.com/prod_img/500000/741/203/img/18203741_1.jpg?shrink=330:*&_v=20221107175424,NVIDIA,RTX 4090,4,2235,2610.0,16384.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,384.0,4,4.0,249,450.0,1000.0,15,3.0,329.4,71.5,100,7,3.0,,202211,
지포스 GTX 1660 Ti D6 6GB (중고),143520.0,https://prod.danawa.com/info/?pcode=11977706&cate=112753,,11977706,//img.danawa.com/prod_img/500000/706/977/img/11977706_1.jpg?shrink=330:*&_v=20200805134449,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR6(DDR6),,,192.0,0,,0,,,0,,,,0,0,,,202008,
AFOX 지포스 G210 D3 512MB LP,24310.0,https://prod.danawa.com/info/?pcode=9317550&cate=112753,AFOX,9317550,//img.danawa.com/prod_img/500000/550/317/img/9317550_1.jpg?shrink=330:*&_v=20210316092741,NVIDIA,G210,,589,,16.0,,PCIe2.0x16,DDR3(DDR3),,1000.0,64.0,1028,2.0,0,30.5,300.0,9,1.0,150.0,30,0,0,,,201908,
AFOX 지포스 RTX 3090 D6 24GB 대원씨티에스,1912610.0,https://prod.danawa.com/info/?pcode=21538472&cate=112753,AFOX,21538472,//img.danawa.com/prod_img/500000/472/538/img/21538472_1.jpg?shrink=330:*&_v=20230801125151,NVIDIA,RTX 3090,,,1695.0,,,PCIe4.0,GDDR6(DDR6),,19500.0,384.0,4,4.0,280,350.0,,9,1.0,275.0,37,20000,1,3.0,,202307,
MANLI 지포스 RTX 3090 Gallardo D6X 24GB,2305720.0,https://prod.danawa.com/info/?pcode=19061414&cate=112753,MANLI,19061414,//img.danawa.com/prod_img/500000/414/061/img/19061414_1.jpg?shrink=330:*&_v=20230217112002,NVIDIA,RTX 3090,8,1395,1710.0,10496.0,,PCIe4.0x16,GDDR6X(DDR6X),,19500.0,,0,,184,350.0,,11,3.0,317.0,60,20000,1,,,202302,
지포스 GTX750 Ti D5 2GB (중고),42990.0,https://prod.danawa.com/info/?pcode=6757090&cate=112753,,6757090,//img.danawa.com/prod_img/500000/090/757/img/6757090_1.jpg?shrink=330:*&_v=20181130150441,NVIDIA,해당없음,,1050,1137.0,,,PCIe3.0x16,GDDR5(DDR5),,,128.0,0,,0,,,0,,,,0,0,,,201811,
이도디스플레이 지포스 GTX 1660 SUPER GAMING RAGE-X D6 6GB,262550.0,https://prod.danawa.com/info/?pcode=21696098&cate=112753,이도디스플레이,21696098,//img.danawa.com/prod_img/500000/098/696/img/21696098_1.jpg?shrink=330:*&_v=20230724101711,NVIDIA,GTX 1660 SUPER,,1530,1785.0,1408.0,,,GDDR6(DDR6),,14000.0,192.0,1028,,272,125.0,450.0,11,2.0,217.0,42,10000,0,3.0,,202307,
HP 지포스 RTX 3090 D6X 24GB (벌크),1760000.0,https://prod.danawa.com/info/?pcode=16666958&cate=112753,HP,16666958,//img.danawa.com/prod_img/500000/958/666/img/16666958_1.jpg?shrink=330:*&_v=20220324100230,NVIDIA,RTX 3090,8,,,10496.0,,PCIe4.0x16,GDDR6X(DDR6X),,19500.0,384.0,4,,0,,,0,,294.0,59,20000,1,,,202203,
PNY XLR8 지포스 RTX 3080 UPRISING EPIC-X RGB D6X 10GB Triple LHR 제이씨현,1149000.0,https://prod.danawa.com/info/?pcode=15013439&cate=112753,PNY,15013439,//img.danawa.com/prod_img/500000/439/013/img/15013439_1.jpg?shrink=330:*&_v=20210817141843,NVIDIA,RTX 3080,8,1440,1710.0,8704.0,,PCIe4.0x16,GDDR6X(DDR6X),,19000.0,320.0,4,4.0,184,320.0,,11,3.0,317.0,60,20000,5,3.0,,202108,
INNO3D 지포스 GTX 1630 OC D6 4GB TWIN X2,197950.0,https://prod.danawa.com/info/?pcode=17685938&cate=112753,INNO3D,17685938,//img.danawa.com/prod_img/500000/938/685/img/17685938_1.jpg?shrink=330:*&_v=20220819090327,NVIDIA,GTX 1630,12,,1800.0,512.0,,PCIe3.0x16,GDDR6(DDR6),,12000.0,64.0,4,3.0,57,,300.0,9,2.0,196.0,,0,0,3.0,,202208,
PALIT 지포스 RTX 4080 GAMINGPRO D6X 16GB,1626000.0,https://prod.danawa.com/info/?pcode=19031924&cate=112753,PALIT,19031924,//img.danawa.com/prod_img/500000/924/031/img/19031924_1.jpg?shrink=330:*&_v=20230831175911,NVIDIA,RTX 4080,4,2205,2505.0,9728.0,,PCIe4.0x16,GDDR6X(DDR6X),,22400.0,256.0,4,4.0,185,320.0,850.0,11,3.0,328.9,63.4,100,7,3.0,,202302,
지포스 GT630 (중고),15000.0,https://prod.danawa.com/info/?pcode=17528849&cate=112753,,17528849,//img.danawa.com/prod_img/500000/849/528/img/17528849_1.jpg?shrink=330:*&_v=20220725153531,NVIDIA,해당없음,,,,,,,GDDR3(DDR3),,,,0,,0,,,0,,,,0,0,,,202207,
TAGER 지포스 RTX 3060 Ti GAMING D6 8GB,843720.0,https://prod.danawa.com/info/?pcode=18225539&cate=112753,TAGER,18225539,//img.danawa.com/prod_img/500000/539/225/img/18225539_1.jpg?shrink=330:*&_v=20221109131604,NVIDIA,RTX 3060 Ti,8,1410,1665.0,4864.0,,PCIe4.0x16,GDDR6(DDR6),,14000.0,256.0,4,4.0,184,170.0,600.0,10,2.0,258.0,41.5,10000,0,,,202211,
FORSA 지포스 RTX 3060 Ti GAMING D6 8GB,843480.0,https://prod.danawa.com/info/?pcode=18095474&cate=112753,FORSA,18095474,//img.danawa.com/prod_img/500000/474/095/img/18095474_1.jpg?shrink=330:*&_v=20221025162906,NVIDIA,RTX 3060 Ti,8,1410,1665.0,4864.0,,PCIe4.0x16,GDDR6(DDR6),,14000.0,256.0,4,4.0,184,170.0,600.0,10,2.0,258.0,41.5,10000,0,,,202210,
NVIDIA TITAN V HBM2 12GB (해외구매),13389600.0,https://prod.danawa.com/info/?pcode=5821058&cate=112753,NVIDIA,5821058,//img.danawa.com/prod_img/500000/058/821/img/5821058_1.jpg?shrink=330:*&_v=20201020150900,NVIDIA,해당없음,,1200,1455.0,,,,HBM(2세대),,,3072.0,0,,0,250.0,600.0,0,,,,0,0,,,201801,
