name,price,link,company,product_seq,image,generation,capacity,clock,timing,number,ecc,xmp,expo,heatsink,heatsink_color,led,led_color,reg_date,bookmark
TeamGroup T-Force DDR5-5600 CL36 Vulcan Black 패키지,280000.0,https://prod.danawa.com/info/?pcode=20547308&cate=112752,TeamGroup,20547308,//img.danawa.com/prod_img/500000/308/547/img/20547308_1.jpg?shrink=330:*&_v=20230614180037,DDR5,64,5600MHz (PC5-44800),CL36-36-36-76,2,2.0,2.0,1,1,블랙,0,,202306,
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 서린,64176.0,https://prod.danawa.com/info/?pcode=11380437&cate=112752,TeamGroup,11380437,//img.danawa.com/prod_img/500000/437/380/img/11380437_1.jpg?shrink=330:*&_v=20200821131607,DDR4,16,3600MHz (PC4-28800),CL18-22-22-42,2,,1.0,0,1,화이트,1,RGB,202005,
Terabyte Ramonster DDR4-3200 CL22,29640.0,https://prod.danawa.com/info/?pcode=18274718&cate=112752,Terabyte,18274718,//img.danawa.com/prod_img/500000/718/274/img/18274718_1.jpg?shrink=330:*&_v=20221115130007,DDR4,16,3200MHz (PC4-25600),CL22,1,,,0,0,,0,,202211,
G.SKILL DDR5-6400 CL32 TRIDENT Z5 RGB 화이트 패키지,338000.0,https://prod.danawa.com/info/?pcode=21639455&cate=112752,G.SKILL,21639455,//img.danawa.com/prod_img/500000/455/639/img/21639455_1.jpg?shrink=330:*&_v=20230719181257,DDR5,64,6400MHz (PC5-51200),CL32-39-39-102,2,2.0,2.0,0,1,화이트,1,RGB,202307,
G.SKILL DDR5-6000 CL36 FLARE X5 J 패키지,124620.0,https://prod.danawa.com/info/?pcode=17931533&cate=112752,G.SKILL,17931533,//img.danawa.com/prod_img/500000/533/931/img/17931533_1.jpg?shrink=330:*&_v=20221005102213,DDR5,32,6000MHz (PC5-48000),CL36-36-36-96,2,2.0,,1,1,블랙,0,,202210,
G.SKILL DDR5-5600 CL30 RIPJAWS S5 J 화이트 패키지,278000.0,https://prod.danawa.com/info/?pcode=16875797&cate=112752,G.SKILL,16875797,//img.danawa.com/prod_img/500000/797/875/img/16875797_1.jpg?shrink=330:*&_v=20220613150814,DDR5,64,5600MHz (PC5-44800),CL30-36-36-89,2,2.0,2.0,0,1,화이트,0,,202204,
G.SKILL DDR5-6000 CL30 RIPJAWS S5 J 화이트 패키지,298000.0,https://prod.danawa.com/info/?pcode=17000741&cate=112752,G.SKILL,17000741,//img.danawa.com/prod_img/500000/741/000/img/17000741_1.jpg?shrink=330:*&_v=20220509131032,DDR5,64,6000MHz (PC5-48000),CL30-40-40-96,2,2.0,2.0,0,1,화이트,0,,202205,
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,139501.0,https://prod.danawa.com/info/?pcode=9480405&cate=112752,G.SKILL,9480405,//img.danawa.com/prod_img/500000/405/480/img/9480405_1.jpg?shrink=330:*&_v=20201228142001,DDR4,32,3600MHz (PC4-28800),CL16-19-19-39,2,,1.0,0,1,블랙,1,RGB,201909,
마이크론 Crucial DDR5-4800 CL40,56290.0,https://prod.danawa.com/info/?pcode=15879230&cate=112752,마이크론,15879230,//img.danawa.com/prod_img/500000/230/879/img/15879230_1.jpg?shrink=330:*&_v=20220217171951,DDR5,16,4800MHz (PC5-38400),CL40-39-39,1,,,0,0,,0,,202112,
G.SKILL DDR5-5600 CL30 TRIDENT Z5 RGB J 패키지,308000.0,https://prod.danawa.com/info/?pcode=16875008&cate=112752,G.SKILL,16875008,//img.danawa.com/prod_img/500000/008/875/img/16875008_1.jpg?shrink=330:*&_v=20220420161953,DDR5,64,5600MHz (PC5-44800),CL30-36-36-89,2,2.0,2.0,0,1,블랙,1,RGB,202204,
GeIL DDR4-2666 CL19 PRISTINE,17540.0,https://prod.danawa.com/info/?pcode=6168338&cate=112752,GeIL,6168338,//img.danawa.com/prod_img/500000/338/168/img/6168338_1.jpg?shrink=330:*&_v=20201124133504,DDR4,8,2666MHz (PC4-21300),CL19-19-19-43,1,,,0,0,,0,,201805,
마이크론 Crucial DDR5-4800 CL40 대원씨티에스,22330.0,https://prod.danawa.com/info/?pcode=20369114&cate=112752,마이크론,20369114,//img.danawa.com/prod_img/500000/114/369/img/20369114_1.jpg?shrink=330:*&_v=20230531161042,DDR5,8,4800MHz (PC5-38400),CL40-39-39,1,,,0,0,,0,,202112,
G.SKILL DDR5-6000 CL30 RIPJAWS S5 J 블랙 패키지,296200.0,https://prod.danawa.com/info/?pcode=17000666&cate=112752,G.SKILL,17000666,//img.danawa.com/prod_img/500000/666/000/img/17000666_1.jpg?shrink=330:*&_v=20220509130009,DDR5,64,6000MHz (PC5-48000),CL30-40-40-96,2,2.0,2.0,0,1,블랙,0,,202205,
GeIL DDR4-3200 CL22 ORION RGB Gray,26230.0,https://prod.danawa.com/info/?pcode=13151036&cate=112752,GeIL,13151036,//img.danawa.com/prod_img/500000/036/151/img/13151036_1.jpg?shrink=330:*&_v=20220110143446,DDR4,8,3200MHz (PC4-25600),CL22-22-22-52,1,,,0,1,실버/그레이,1,RGB,202101,
TeamGroup T-CREATE DDR5-6400 CL34 EXPERT 화이트 패키지 서린,341800.0,https://prod.danawa.com/info/?pcode=20547080&cate=112752,TeamGroup,20547080,//img.danawa.com/prod_img/500000/080/547/img/20547080_1.jpg?shrink=330:*&_v=20230614174413,DDR5,64,6400MHz (PC5-51200),CL34-44-44-84,2,2.0,1.0,0,1,화이트,0,,202306,
삼성전자 DDR5-4800 ECC/REG,146390.0,https://prod.danawa.com/info/?pcode=21678638&cate=112752,삼성전자,21678638,//img.danawa.com/prod_img/500000/638/678/img/21678638_1.jpg?shrink=330:*&_v=20230721124310,DDR5,32,4800MHz (PC5-38400),,1,1.0,,0,0,,0,,202307,
G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지,147870.0,https://prod.danawa.com/info/?pcode=17931893&cate=112752,G.SKILL,17931893,//img.danawa.com/prod_img/500000/893/931/img/17931893_1.jpg?shrink=330:*&_v=20221005100036,DDR5,32,6000MHz (PC5-48000),CL36-36-36-96,2,2.0,,1,1,블랙,1,RGB,202210,
ADATA XPG DDR5-6000 CL30 LANCER RGB 화이트 패키지,155670.0,https://prod.danawa.com/info/?pcode=19235582&cate=112752,ADATA,19235582,//img.danawa.com/prod_img/500000/582/235/img/19235582_1.jpg?shrink=330:*&_v=20230306173012,DDR5,32,6000MHz (PC5-48000),CL30-40-40,2,2.0,2.0,0,1,화이트,1,RGB,202303,
G.SKILL DDR5-6400 CL32 TRIDENT Z5 RGB J 실버 패키지,579000.0,https://prod.danawa.com/info/?pcode=20019728&cate=112752,G.SKILL,20019728,//img.danawa.com/prod_img/500000/728/019/img/20019728_1.jpg?shrink=330:*&_v=20230503170625,DDR5,48,6400MHz (PC5-51200),CL32-39-39-102,2,2.0,2.0,0,1,실버,1,RGB,202305,
G.SKILL DDR5-8000 CL40 TRIDENT Z5 RGB J 실버 패키지,521204.0,https://prod.danawa.com/info/?pcode=20020085&cate=112752,G.SKILL,20020085,//img.danawa.com/prod_img/500000/085/020/img/20020085_1.jpg?shrink=330:*&_v=20230503172849,DDR5,48,8000MHz (PC5-64000),CL40-48-48-128,2,2.0,2.0,0,1,실버,1,RGB,202305,
G.SKILL DDR4-2666 CL19 AEGIS,34000.0,https://prod.danawa.com/info/?pcode=6540147&cate=112752,G.SKILL,6540147,//img.danawa.com/prod_img/500000/147/540/img/6540147_1.jpg?shrink=330:*&_v=20200821132850,DDR4,16,2666MHz (PC4-21300),CL19-19-19-43,1,,1.0,0,1,블랙,0,,201810,
TeamGroup T-CREATE DDR5-6000 CL30 EXPERT 화이트 패키지 서린,160000.0,https://prod.danawa.com/info/?pcode=20546684&cate=112752,TeamGroup,20546684,//img.danawa.com/prod_img/500000/684/546/img/20546684_1.jpg?shrink=330:*&_v=20230614173001,DDR5,32,6000MHz (PC5-48000),CL30-36-36-76,2,2.0,1.0,1,1,화이트,0,,202306,
TeamGroup T-CREATE DDR5-6000 CL38 EXPERT 패키지 서린,144900.0,https://prod.danawa.com/info/?pcode=19567022&cate=112752,TeamGroup,19567022,//img.danawa.com/prod_img/500000/022/567/img/19567022_1.jpg?shrink=330:*&_v=20230330160127,DDR5,32,6000MHz (PC5-48000),CL38-38-38-78,2,2.0,1.0,1,1,블랙,0,,202303,
V-Color Manta DDR5-8200 CL40 XPrism RGB 블랙 패키지,,https://prod.danawa.com/info/?pcode=20591447&cate=112752,V-Color,20591447,//img.danawa.com/prod_img/500000/447/591/img/20591447_1.jpg?shrink=330:*&_v=20230619135931,DDR5,48,8200MHz (PC5-65600),CL40-52-52-128,2,2.0,2.0,1,1,블랙,1,RGB,202306,
G.SKILL DDR4-3200 CL16 RIPJAWS V VK 패키지,376000.0,https://prod.danawa.com/info/?pcode=10019388&cate=112752,G.SKILL,10019388,//img.danawa.com/prod_img/500000/388/019/img/10019388_1.jpg?shrink=330:*&_v=20200821131934,DDR4,128,3200MHz (PC4-25600),CL16-18-18-38,4,,1.0,0,1,블랙,0,,201911,
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,106021.0,https://prod.danawa.com/info/?pcode=10019547&cate=112752,G.SKILL,10019547,//img.danawa.com/prod_img/500000/547/019/img/10019547_1.jpg?shrink=330:*&_v=20200821131934,DDR4,32,3200MHz (PC4-25600),CL16-18-18-38,2,,1.0,0,1,블랙,1,RGB,201911,
G.SKILL DDR4-4000 CL18 TRIDENT Z RGB 패키지,,https://prod.danawa.com/info/?pcode=15792911&cate=112752,G.SKILL,15792911,//img.danawa.com/prod_img/500000/911/792/img/15792911_1.jpg?shrink=330:*&_v=20211126151855,DDR4,32,4000MHz (PC4-32000),CL18-22-22-42,2,,1.0,0,1,블랙,1,RGB,202111,
G.SKILL DDR5-6000 CL30 TRIDENT Z5 RGB 화이트 패키지,328000.0,https://prod.danawa.com/info/?pcode=21639437&cate=112752,G.SKILL,21639437,//img.danawa.com/prod_img/500000/437/639/img/21639437_1.jpg?shrink=330:*&_v=20230719180847,DDR5,64,6000MHz (PC5-48000),CL30-40-40-96,2,2.0,2.0,0,1,화이트,1,RGB,202307,
G.SKILL DDR5-5600 CL30 RIPJAWS S5 J 블랙 패키지,278000.0,https://prod.danawa.com/info/?pcode=16875566&cate=112752,G.SKILL,16875566,//img.danawa.com/prod_img/500000/566/875/img/16875566_1.jpg?shrink=330:*&_v=20220613151128,DDR5,64,5600MHz (PC5-44800),CL30-36-36-89,2,2.0,2.0,0,1,블랙,0,,202204,
ESSENCORE KLEVV DDR5-6400 CL32 BOLT V 패키지 서린,149000.0,https://prod.danawa.com/info/?pcode=27894644&cate=112752,ESSENCORE,27894644,//img.danawa.com/prod_img/500000/644/894/img/27894644_1.jpg?shrink=330:*&_v=20230830155633,DDR5,32,6400MHz (PC5-51200),CL32-38-38-78,2,2.0,2.0,0,1,블랙,0,,202308,
G.SKILL DDR4-3600 CL18 TRIDENT Z NEO 패키지,128000.0,https://prod.danawa.com/info/?pcode=11431392&cate=112752,G.SKILL,11431392,//img.danawa.com/prod_img/500000/392/431/img/11431392_1.jpg?shrink=330:*&_v=20200821131607,DDR4,32,3600MHz (PC4-28800),CL18-22-22-42,2,,1.0,0,1,실버/그레이,1,RGB,202005,
TeamGroup T-CREATE DDR5-6400 CL32 EXPERT 화이트 패키지 서린,174290.0,https://prod.danawa.com/info/?pcode=20546987&cate=112752,TeamGroup,20546987,//img.danawa.com/prod_img/500000/987/546/img/20546987_1.jpg?shrink=330:*&_v=20230614174117,DDR5,32,6400MHz (PC5-51200),CL32-39-39-84,2,2.0,1.0,0,1,화이트,0,,202306,
TeamGroup T-Force DDR5-5600 CL36 Delta RGB 화이트 패키지 서린,153190.0,https://prod.danawa.com/info/?pcode=18134924&cate=112752,TeamGroup,18134924,//img.danawa.com/prod_img/500000/924/134/img/18134924_1.jpg?shrink=330:*&_v=20221214075624,DDR5,32,5600MHz (PC5-44800),CL36-36-36-76,2,2.0,2.0,0,1,화이트,1,RGB,202210,
TeamGroup T-Force DDR5-6000 CL30 Delta RGB 화이트 패키지,169267.0,https://prod.danawa.com/info/?pcode=18135029&cate=112752,TeamGroup,18135029,//img.danawa.com/prod_img/500000/029/135/img/18135029_1.jpg?shrink=330:*&_v=20221027164506,DDR5,32,6000MHz (PC5-48000),CL30-36-36-76,2,2.0,2.0,0,1,화이트,1,RGB,202210,
V-Color Manta DDR5-7200 CL36 XPrism RGB 블랙 패키지,359970.0,https://prod.danawa.com/info/?pcode=20591198&cate=112752,V-Color,20591198,//img.danawa.com/prod_img/500000/198/591/img/20591198_1.jpg?shrink=330:*&_v=20230619135314,DDR5,48,7200MHz (PC5-57600),CL36-46-46-112,2,2.0,2.0,1,1,블랙,1,RGB,202306,
G.SKILL DDR5-7200 CL34 TRIDENT Z5 RGB J 패키지,231576.0,https://prod.danawa.com/info/?pcode=18036653&cate=112752,G.SKILL,18036653,//img.danawa.com/prod_img/500000/653/036/img/18036653_1.jpg?shrink=330:*&_v=20221019083439,DDR5,32,7200MHz (PC5-57600),CL34-45-45-115,2,2.0,2.0,0,1,블랙,1,RGB,202210,
삼성전자 DDR4-2400 중고,16890.0,https://prod.danawa.com/info/?pcode=11236449&cate=112752,삼성전자,11236449,//img.danawa.com/prod_img/500000/449/236/img/11236449_1.jpg?shrink=330:*&_v=20220217124540,DDR4,8,2400MHz (PC4-19200),,1,,,0,0,,0,,201608,
G.SKILL DDR5-7200 CL34 TRIDENT Z5 RGB J 실버 패키지,231576.0,https://prod.danawa.com/info/?pcode=18036644&cate=112752,G.SKILL,18036644,//img.danawa.com/prod_img/500000/644/036/img/18036644_1.jpg?shrink=330:*&_v=20221019083236,DDR5,32,7200MHz (PC5-57600),CL34-45-45-115,2,2.0,2.0,0,1,실버/그레이,1,RGB,202210,
OLOy DDR5-6400 CL32 BLADE RGB MIRROR 패키지,217890.0,https://prod.danawa.com/info/?pcode=19649867&cate=112752,OLOy,19649867,//img.danawa.com/prod_img/500000/867/649/img/19649867_1.jpg?shrink=330:*&_v=20230412153918,DDR5,32,6400MHz (PC5-51200),CL32-38-38-76,2,2.0,,0,1,실버/그레이,1,RGB,202304,
TeamGroup DDR5-4800 CL40 Elite Plus 블랙 서린,111990.0,https://prod.danawa.com/info/?pcode=18767543&cate=112752,TeamGroup,18767543,//img.danawa.com/prod_img/500000/543/767/img/18767543_1.jpg?shrink=330:*&_v=20230116145132,DDR5,32,4800MHz (PC5-38400),CL40-40-40-77,1,2.0,,0,1,블랙,0,,202301,
TeamGroup T-Force DDR5-7200 CL34 Delta RGB 패키지,223190.0,https://prod.danawa.com/info/?pcode=18135167&cate=112752,TeamGroup,18135167,//img.danawa.com/prod_img/500000/167/135/img/18135167_1.jpg?shrink=330:*&_v=20221027165029,DDR5,32,7200MHz (PC5-57600),CL34-42-42-84,2,2.0,2.0,0,1,블랙,1,RGB,202210,
G.SKILL DDR4-3200 CL14 TRIDENT Z 패키지,223200.0,https://prod.danawa.com/info/?pcode=6419864&cate=112752,G.SKILL,6419864,//img.danawa.com/prod_img/500000/864/419/img/6419864_1.jpg?shrink=330:*&_v=20200821132110,DDR4,32,3200MHz (PC4-25600),CL14-14-14-34,2,,1.0,0,1,실버/그레이,0,,201808,
TeamGroup T-CREATE DDR5-6000 CL48 CLASSIC 패키지 서린,145000.0,https://prod.danawa.com/info/?pcode=19567433&cate=112752,TeamGroup,19567433,//img.danawa.com/prod_img/500000/433/567/img/19567433_1.jpg?shrink=330:*&_v=20230413183124,DDR5,32,6000MHz (PC5-48000),CL48-48-48-96,2,2.0,,0,1,블랙,0,,202303,
V-Color Manta DDR5-6400 CL36 XPrism RGB 블랙 패키지,298990.0,https://prod.danawa.com/info/?pcode=20591087&cate=112752,V-Color,20591087,//img.danawa.com/prod_img/500000/087/591/img/20591087_1.jpg?shrink=330:*&_v=20230619135331,DDR5,48,6400MHz (PC5-51200),CL36-48-48-101,2,2.0,2.0,1,1,블랙,1,RGB,202306,
