,0
18682472.0,1198110
20722934.0,460490
18108902.0,143960
17359220.0,126710
20301677.0,664400
17001083.0,89000
20255537.0,64770
13148819.0,398000
7335787.0,164640
14741900.0,2527700
14219342.0,
18053684.0,35680
21400361.0,123490
18640205.0,190590
17002862.0,22500
11283222.0,52490
18052667.0,854080
17980988.0,2365990
17870129.0,590000
18894068.0,1278590
16195031.0,227060
17334425.0,154000
9817428.0,338000
8558654.0,81844
19356875.0,137380
20379776.0,91070
16089002.0,168490
18918575.0,191255
20301020.0,639200
19627934.0,599430
19827944.0,129278
17387444.0,124992
20145302.0,444210
18146642.0,35490
18922913.0,58280
13446017.0,45990
15594701.0,391140
16089554.0,153930
14934254.0,1612990
13384469.0,69500
13562693.0,51000
3471240.0,66370
12681041.0,316000
21421541.0,
15110762.0,83500
18767216.0,249300
20140877.0,163190
5158596.0,76264
18054881.0,385320
17145053.0,77674
18021662.0,325570
16862354.0,85000
19511543.0,1160240
17982392.0,2331800
17359157.0,160130
19636997.0,189000
19451888.0,295000
19691621.0,215100
18780494.0,1574020
18213719.0,78567
17024672.0,141240
18169268.0,396230
15823055.0,79340
18307874.0,1647990
19936247.0,125244
17658305.0,18910
20663186.0,195240
15675176.0,71148
19023893.0,249000
19321601.0,591610
15129071.0,735980
15422960.0,360000
16301447.0,87300
20575781.0,582150
20238110.0,121040
14718956.0,585000
15796520.0,82230
5791868.0,139900
18060362.0,275287
19961018.0,199000
17896439.0,114279
10171746.0,255000
18154490.0,405450
13933700.0,110000
18640286.0,308000
11113710.0,39700
18640106.0,155180
11189739.0,181870
18871862.0,44000
16541072.0,33540
21651302.0,35290
23561576.0,
18252812.0,43301
12345542.0,35200
21531986.0,
18448748.0,221990
19727942.0,187110
19306109.0,118743
10927932.0,53990
18769955.0,68990
21550901.0,177190
17954243.0,88352
13190711.0,283420
20504855.0,114640
18265187.0,299490
10467333.0,
9376470.0,56690
17676860.0,256190
18348743.0,356610
16208849.0,25130
16273730.0,209000
15616676.0,584220
19773425.0,898950
16859912.0,279408
9515841.0,188000
18373583.0,572000
21464180.0,134810
9295779.0,
20615300.0,335550
12751874.0,91147
17038307.0,532590
20079467.0,429020
17224892.0,300200
21548498.0,73990
18060878.0,1048300
21551720.0,271470
20256680.0,86080
19755455.0,172520
20516462.0,42350
17420288.0,85900
18294482.0,67000
12622319.0,686210
18703613.0,491090
16859927.0,279408
15301127.0,165000
12279560.0,126990
19704527.0,181120
18296906.0,1726000
17450348.0,45000
20696243.0,429000
14729600.0,55990
9376491.0,56700
13550969.0,24490
19751759.0,883160
13102370.0,53910
18186989.0,299000
11283033.0,45000
19813763.0,111390
19938515.0,103990
5791864.0,39760
17570807.0,4069000
17667608.0,1046640
14757272.0,517000
18303728.0,2118990
15794921.0,338530
13486118.0,90320
19924310.0,153412
17702204.0,96020
17823668.0,97280
19926275.0,396040
20662529.0,160590
18741254.0,88550
10927923.0,30000
15594956.0,561950
18214907.0,755470
17525405.0,116253
15321314.0,278890
11780842.0,64490
18044417.0,350280
13329584.0,172990
15558575.0,73990
18698087.0,395000
18913712.0,636000
16144622.0,54370
18662669.0,234213
20732459.0,461310
9850002.0,61700
6216877.0,39790
10120467.0,95020
20013098.0,555975
10958544.0,319000
18066980.0,240878
20442254.0,
15026021.0,386980
17869835.0,769250
18269483.0,1500960
16704593.0,283000
14705225.0,36570
18702812.0,255680
17052878.0,79900
15894449.0,107000
10900908.0,60500
16314863.0,114000
14790071.0,55000
18651329.0,172590
20229998.0,59900
9966492.0,82710
11814364.0,45000
11684576.0,117370
10174200.0,51000
9944427.0,
5181099.0,320410
17790299.0,228070
18330392.0,312200
17974598.0,2431670
18169169.0,436000
18993305.0,226980
14857991.0,842820
17658422.0,
16756757.0,978210
10497549.0,288000
11574458.0,116990
20470844.0,75240
14803520.0,105000
19701731.0,209000
8431077.0,99900
18087947.0,139970
18978128.0,117850
18237560.0,59000
18302984.0,1679000
18681557.0,1186360
19260017.0,580000
16380443.0,592800
12023981.0,45640
18060353.0,324578
17720798.0,565420
19925807.0,163641
20522441.0,41200
17976143.0,69300
16427216.0,1249000
20611448.0,1188110
18570371.0,267760
14788691.0,712990
18108971.0,219840
19756610.0,826760
15050393.0,79000
20103287.0,208327
16199669.0,
20564615.0,600330
19242692.0,
18703730.0,507600
4678115.0,46490
17459081.0,41000
17783147.0,50690
17052281.0,71000
19305539.0,405840
15788555.0,395590
16195151.0,
13470908.0,744000
15362603.0,43500
20471387.0,253420
17584163.0,63290
20136845.0,65260
18295433.0,307440
12400607.0,45700
18652874.0,188980
11283078.0,75000
10054617.0,187000
17570816.0,2969500
18964955.0,1771000
17661059.0,191030
17057594.0,172760
16778399.0,89000
20318291.0,276570
18750995.0,233570
8457783.0,44990
18964661.0,1096550
18728303.0,111600
18841790.0,734440
20512307.0,2552900
18005060.0,499000
20459081.0,72440
11432340.0,35380
17982362.0,2429350
18371288.0,167200
18113015.0,268260
5598547.0,48000
14953979.0,438980
20504921.0,114000
18448706.0,221810
17359301.0,161890
9243156.0,136300
17975774.0,
17976482.0,137990
9944397.0,
12013670.0,42000
20285345.0,619000
19851107.0,
16314473.0,99240
18570377.0,267730
18581042.0,100370
15043808.0,113260
18303731.0,1727990
11001012.0,214000
19135712.0,28700
18039902.0,376150
19725299.0,172050
17974766.0,2420800
13933289.0,105000
17971199.0,238220
18652586.0,166472
19773515.0,882320
13150403.0,94900
18296984.0,1780920
18503027.0,2471580
15756542.0,1239000
14602859.0,199000
18154397.0,246170
20080199.0,
9435804.0,161550
13057166.0,137270
13973483.0,74996
12821624.0,573520
17552000.0,102590
15688298.0,182150
19756607.0,918910
5185598.0,277800
15031841.0,87390
12491474.0,68000
14677133.0,51230
18412277.0,389440
19953725.0,400000
18815033.0,268500
18237617.0,172610
16872089.0,479980
11934316.0,256800
16199738.0,211000
17788451.0,194420
19769636.0,840380
18846299.0,226407
12055514.0,
20031230.0,94690
17103122.0,
18146243.0,394600
17135954.0,286080
20301539.0,620000
15315371.0,
18303719.0,1669950
17980421.0,2461400
18681503.0,1243970
19317608.0,94290
17640323.0,28120
16813160.0,52100
14863025.0,3499990
19282190.0,19900
18044567.0,347743
16704548.0,
15407192.0,24800
19277042.0,49500
14442290.0,
19926611.0,154540
18670412.0,1229000
13517816.0,45700
18112316.0,348130
7029823.0,198000
12041090.0,98940
17926769.0,760600
9910572.0,74890
18144521.0,530190
13340963.0,
18007478.0,354460
19031924.0,1626000
10803144.0,71590
15825011.0,207510
16101083.0,153900
13340918.0,41060
18087941.0,119990
19241759.0,188490
20298116.0,606990
17359325.0,131990
19771985.0,881000
18670382.0,1197000
9534249.0,70000
12804722.0,40000
16265948.0,49900
2255657.0,
19728059.0,259000
17925728.0,684670
18704651.0,1537810
18376385.0,411000
18682598.0,1311450
12588671.0,39730
16167980.0,269000
19779116.0,74000
13301009.0,150150
9892554.0,
11308065.0,29000
12491483.0,65568
9821547.0,
12086153.0,
15752546.0,292060
16291658.0,650000
8804612.0,
18303530.0,1699000
16338839.0,17580
15614984.0,515000
14958833.0,215000
10165092.0,18990
8802512.0,40520
17970794.0,19620
15600971.0,363000
18303725.0,1801000
17661089.0,203405
17525390.0,110672
9821508.0,
11578097.0,
10285407.0,
18894161.0,93250
18874781.0,201370
18840155.0,1120540
